wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
4.0827735547e+02	4.5217938721e-02	1.0108426958e-01	8.2632489502e-02
4.0869706491e+02	5.6833211333e-02	1.1533804238e-01	9.6286155283e-02
4.0911677435e+02	6.9511860609e-02	1.3296805322e-01	1.1246640235e-01
4.0953648379e+02	8.3156540990e-02	1.5145958960e-01	1.3074621558e-01
4.0995619323e+02	9.7667127848e-02	1.7170912027e-01	1.4970245957e-01
4.1037590267e+02	1.1294227839e-01	1.9246684015e-01	1.7105205357e-01
4.1079561212e+02	1.2888093293e-01	2.1362723410e-01	1.9253501296e-01
4.1121532156e+02	1.4538361132e-01	2.3531444371e-01	2.1522623301e-01
4.1163503100e+02	1.6235359013e-01	2.5661173463e-01	2.3676733673e-01
4.1205474044e+02	1.7969793081e-01	2.7874955535e-01	2.5807762146e-01
4.1247444988e+02	1.9732822478e-01	3.0013874173e-01	2.8003409505e-01
4.1289415932e+02	2.1516123414e-01	3.2078781724e-01	3.0011212826e-01
4.1331386876e+02	2.3311936855e-01	3.4292981029e-01	3.2078108191e-01
4.1373357820e+02	2.5113099813e-01	3.6337363720e-01	3.3809462190e-01
4.1415328765e+02	2.6913061738e-01	3.8213849068e-01	3.5661029816e-01
4.1457299709e+02	2.8705880046e-01	4.0319141746e-01	3.7264636159e-01
4.1499270653e+02	3.0486226082e-01	4.1730588675e-01	3.8854250312e-01
4.1541241597e+02	3.2249361277e-01	4.3577563763e-01	4.0557709336e-01
4.1583212541e+02	3.3991122246e-01	4.5424538851e-01	4.2088633776e-01
4.1625183485e+02	3.5707879066e-01	4.7116750479e-01	4.3660017848e-01
4.1667154429e+02	3.7396523356e-01	4.8860973120e-01	4.5097321272e-01
4.1709125373e+02	3.9054414630e-01	5.0494623184e-01	4.6234253049e-01
4.1751096317e+02	4.0679356456e-01	5.1970207691e-01	4.7743600607e-01
4.1793067262e+02	4.2269563675e-01	5.3494602442e-01	4.8971498013e-01
4.1835038206e+02	4.3823605776e-01	5.5218416452e-01	5.0099861622e-01
4.1877009150e+02	4.5340400934e-01	5.6693446636e-01	5.1291090250e-01
4.1918980094e+02	4.6819153428e-01	5.8046096563e-01	5.2456730604e-01
4.1960951038e+02	4.8259338737e-01	5.9478729963e-01	5.3571963310e-01
4.2002921982e+02	4.9660673738e-01	6.0444790125e-01	5.4759490490e-01
4.2044892926e+02	5.1023077965e-01	6.1925590038e-01	5.5583536625e-01
4.2086863870e+02	5.2346640825e-01	6.3445001841e-01	5.7037013769e-01
4.2128834815e+02	5.3631633520e-01	6.4763152599e-01	5.7683497667e-01
4.2170805759e+02	5.4878443480e-01	6.5778237581e-01	5.8680355549e-01
4.2212776703e+02	5.6087571383e-01	6.7301261425e-01	5.9627282619e-01
4.2254747647e+02	5.7259625196e-01	6.8349647522e-01	6.0568398237e-01
4.2296718591e+02	5.8395278454e-01	6.9565850496e-01	6.1376190186e-01
4.2338689535e+02	5.9495288134e-01	7.0959585905e-01	6.2208181620e-01
4.2380660479e+02	6.0560441017e-01	7.1896588802e-01	6.3025289774e-01
4.2422631423e+02	6.1591583490e-01	7.3067855835e-01	6.3773578405e-01
4.2464602368e+02	6.2589591742e-01	7.4298053980e-01	6.4458596706e-01
4.2506573312e+02	6.3555341959e-01	7.5432711840e-01	6.5245807171e-01
4.2548544256e+02	6.4489758015e-01	7.6542681456e-01	6.5882104635e-01
4.2590515200e+02	6.5393745899e-01	7.7553278208e-01	6.6562527418e-01
4.2632486144e+02	6.6268217564e-01	7.8428989649e-01	6.7169773579e-01
4.2674457088e+02	6.7114090919e-01	7.9374039173e-01	6.7904442549e-01
4.2716428032e+02	6.7932271957e-01	8.0399823189e-01	6.8526685238e-01
4.2758398976e+02	6.8723654747e-01	8.1331950426e-01	6.9067662954e-01
4.2800369920e+02	6.9489127398e-01	8.2152891159e-01	6.9694465399e-01
4.2842340865e+02	7.0229548216e-01	8.2949388027e-01	7.0333915949e-01
4.2884311809e+02	7.0945769548e-01	8.3790344000e-01	7.1011602879e-01
4.2926282753e+02	7.1638619900e-01	8.4535455704e-01	7.1612036228e-01
4.2968253697e+02	7.2308903933e-01	8.5147643089e-01	7.2217804193e-01
4.3010224641e+02	7.2957420349e-01	8.5731613636e-01	7.2815769911e-01
4.3052195585e+02	7.3584920168e-01	8.6334902048e-01	7.3353850842e-01
4.3094166529e+02	7.4192160368e-01	8.6931824684e-01	7.3842287064e-01
4.3136137473e+02	7.4779850245e-01	8.7466192245e-01	7.4350190163e-01
4.3178108418e+02	7.5348687172e-01	8.7865877151e-01	7.4853473902e-01
4.3220079362e+02	7.5899350643e-01	8.8276064396e-01	7.5343286991e-01
4.3262050306e+02	7.6432490349e-01	8.8677597046e-01	7.5824475288e-01
4.3304021250e+02	7.6948732138e-01	8.9077997208e-01	7.6201951504e-01
4.3345992194e+02	7.7448689938e-01	8.9442014694e-01	7.6601827145e-01
4.3387963138e+02	7.7932941914e-01	8.9717811346e-01	7.6974684000e-01
4.3429934082e+02	7.8402060270e-01	8.9973515272e-01	7.7336543798e-01
4.3471905026e+02	7.8856581450e-01	9.0213823318e-01	7.7695065737e-01
4.3513875971e+02	7.9297035933e-01	9.0434288979e-01	7.7908194065e-01
4.3555846915e+02	7.9723918438e-01	9.0559470654e-01	7.8135788441e-01
4.3597817859e+02	8.0137723684e-01	9.0766078234e-01	7.8329581022e-01
4.3639788803e+02	8.0538910627e-01	9.0876281261e-01	7.8706145287e-01
4.3681759747e+02	8.0927938223e-01	9.0986955166e-01	7.8888005018e-01
4.3723730691e+02	8.1305223703e-01	9.1030877829e-01	7.9096549749e-01
4.3765701635e+02	8.1671196222e-01	9.1112303734e-01	7.9352885485e-01
4.3807672579e+02	8.2026243210e-01	9.1155225039e-01	7.9543989897e-01
4.3849643523e+02	8.2370758057e-01	9.1177290678e-01	7.9793411493e-01
4.3891614468e+02	8.2705104351e-01	9.1159969568e-01	8.0046939850e-01
4.3933585412e+02	8.3029633760e-01	9.1137814522e-01	8.0246502161e-01
4.3975556356e+02	8.3344686031e-01	9.1077661514e-01	8.0507951975e-01
4.4017527300e+02	8.3650594950e-01	9.1033810377e-01	8.0749124289e-01
4.4059498244e+02	8.3947670460e-01	9.0969473124e-01	8.0864155293e-01
4.4101469188e+02	8.4236216545e-01	9.0900909901e-01	8.1072831154e-01
4.4143440132e+02	8.4516519308e-01	9.0815973282e-01	8.1262856722e-01
4.4185411076e+02	8.4788858891e-01	9.0673726797e-01	8.1420791149e-01
4.4227382021e+02	8.5053509474e-01	9.0539669991e-01	8.1702721119e-01
4.4269352965e+02	8.5310721397e-01	9.0374743938e-01	8.1852984428e-01
4.4311323909e+02	8.5560745001e-01	9.0296888351e-01	8.2153093815e-01
4.4353294853e+02	8.5803818703e-01	9.0167278051e-01	8.2337689400e-01
4.4395265797e+02	8.6040174961e-01	9.0026432276e-01	8.2535934448e-01
4.4437236741e+02	8.6270022392e-01	8.9889013767e-01	8.2849532366e-01
4.4479207685e+02	8.6493587494e-01	8.9756399393e-01	8.3001500368e-01
4.4521178629e+02	8.6711061001e-01	8.9644885063e-01	8.3305674791e-01
4.4563149574e+02	8.6922645569e-01	8.9408940077e-01	8.3474498987e-01
4.4605120518e+02	8.7128525972e-01	8.9323866367e-01	8.3701360226e-01
4.4647091462e+02	8.7328886986e-01	8.9131277800e-01	8.3903139830e-01
4.4689062406e+02	8.7523901463e-01	8.9048892260e-01	8.4134346247e-01
4.4731033350e+02	8.7713736296e-01	8.8902604580e-01	8.4513670206e-01
4.4773004294e+02	8.7898546457e-01	8.8642477989e-01	8.4979784489e-01
4.4814975238e+02	8.8078498840e-01	8.8489687443e-01	8.5074275732e-01
4.4856946182e+02	8.8253742456e-01	8.8278186321e-01	8.5182547569e-01
4.4898917126e+02	8.8424408436e-01	8.8122582436e-01	8.5419732332e-01
4.4940888071e+02	8.8590645790e-01	8.7878751755e-01	8.5823458433e-01
4.4982859015e+02	8.8752585649e-01	8.7791621685e-01	8.6047232151e-01
4.5024829959e+02	8.8910359144e-01	8.7596583366e-01	8.6237978935e-01
4.5066800903e+02	8.9064085484e-01	8.7361443043e-01	8.6506491899e-01
4.5108771847e+02	8.9213883877e-01	8.7128132582e-01	8.6779147387e-01
4.5150742791e+02	8.9359873533e-01	8.6925417185e-01	8.6972600222e-01
4.5192713735e+02	8.9502167702e-01	8.6662554741e-01	8.7152713537e-01
4.5234684679e+02	8.9640861750e-01	8.6393249035e-01	8.7375581264e-01
4.5276655624e+02	8.9776068926e-01	8.6146575212e-01	8.7617552280e-01
4.5318626568e+02	8.9907884598e-01	8.5965174437e-01	8.7688791752e-01
4.5360597512e+02	9.0036404133e-01	8.5668069124e-01	8.7881249189e-01
4.5402568456e+02	9.0161716938e-01	8.5515725613e-01	8.8138413429e-01
4.5444539400e+02	9.0283924341e-01	8.5253721476e-01	8.8278824091e-01
4.5486510344e+02	9.0403097868e-01	8.5040485859e-01	8.8515585661e-01
4.5528481288e+02	9.0519326925e-01	8.4799778461e-01	8.8726246357e-01
4.5570452232e+02	9.0632694960e-01	8.4611642361e-01	8.8831180334e-01
4.5612423177e+02	9.0743273497e-01	8.4467375278e-01	8.9006590843e-01
4.5654394121e+02	9.0851134062e-01	8.4219110012e-01	8.9170283079e-01
4.5696365065e+02	9.0956360102e-01	8.4145104885e-01	8.9396667480e-01
