candidate_index	condition_order_code	valid	candidate_spectrum_valid	candidate_spectrum_maximum_absolute_error_nm	candidate_spectrum_summed_absolute_error_nm	peak1_wavelength_nm	peak2_wavelength_nm	peak1_signed_error_nm	peak2_signed_error_nm	maximum_absolute_error_nm	summed_absolute_error_nm	mean_absolute_error_nm	peak1_transmittance	peak2_transmittance	worst_valley_transmittance	peak1_fwhm_nm	peak2_fwhm_nm	widest_fwhm_nm	peak1_prominence	peak2_prominence	minimum_prominence	valley_transmittance_imbalance	peak1_fwhm_to_ideal_ratio	peak2_fwhm_to_ideal_ratio	shape_gate_passed	shape_minimax_score	inside_position_window	selected
0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	2.9264225805e+00	3.0067426419e+00	4.0449997050e+02	5.8707357742e+02	-5.0002950253e-01	-2.9264225805e+00	2.9264225805e+00	3.4264520831e+00	1.7132260415e+00	3.0624309182e-01	1.6751922667e-01	3.0624309182e-01	1.1861689828e+01	1.7369283309e+01	1.7369283309e+01	5.6762650609e-01	5.9433393180e-01	5.6762650609e-01	1.3872386515e-01	5.1561218485e-01	6.0514170627e-01	0.0000000000e+00	1.5312154591e+00	0.0000000000e+00	0.0000000000e+00
1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	5.0249697865e+00	5.1052898479e+00	4.0449997050e+02	5.8623415854e+02	-5.0002950253e-01	-3.7658414629e+00	3.7658414629e+00	4.2658709655e+00	2.1329354827e+00	5.2381920815e-01	4.0197569132e-01	5.2381920815e-01	1.0734750891e+01	1.2868324637e+01	1.2868324637e+01	3.4598493576e-01	3.7682420015e-01	3.4598493576e-01	1.2184351683e-01	4.6662561918e-01	4.4832937485e-01	0.0000000000e+00	2.6190960407e+00	0.0000000000e+00	0.0000000000e+00
2.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	2.0870036981e+00	2.1673237595e+00	4.0449997050e+02	5.8707357742e+02	-5.0002950253e-01	-2.9264225805e+00	2.9264225805e+00	3.4264520831e+00	1.7132260415e+00	2.0719043911e-01	8.0375775695e-02	2.0719043911e-01	1.3760861771e+01	2.0804057932e+01	2.0804057932e+01	6.7655362189e-01	6.7284961045e-01	6.7284961045e-01	1.2681466341e-01	5.9816671200e-01	7.2480843854e-01	0.0000000000e+00	1.2681466341e+00	0.0000000000e+00	0.0000000000e+00
3.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	2.9264225805e+00	3.0067426419e+00	4.0449997050e+02	5.8665386798e+02	-5.0002950253e-01	-3.3461320217e+00	3.3461320217e+00	3.8461615243e+00	1.9230807621e+00	4.2233988643e-01	2.6880368590e-01	4.2233988643e-01	1.1125692164e+01	1.4264841586e+01	1.4264841586e+01	4.4951251149e-01	5.0445029140e-01	4.4951251149e-01	1.5353620052e-01	4.8361932640e-01	4.9698369375e-01	0.0000000000e+00	2.1116994321e+00	0.0000000000e+00	0.0000000000e+00
4.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.6672942569e+00	1.7476143183e+00	4.0491967994e+02	5.9001154351e+02	-8.0320061333e-02	1.1543507867e-02	8.0320061333e-02	9.1863569200e-02	4.5931784600e-02	5.4002590477e-02	1.2780089863e-02	5.4002590477e-02	2.0100432429e+01	3.6726584149e+01	3.6726584149e+01	7.9164087027e-01	7.0740560722e-01	7.0740560722e-01	4.1222500615e-02	8.7373957936e-01	1.2795454713e+00	1.0000000000e+00	7.9870134649e-01	1.0000000000e+00	0.0000000000e+00
5.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	2.0870036981e+00	2.1673237595e+00	4.0449997050e+02	5.8707357742e+02	-5.0002950253e-01	-2.9264225805e+00	2.9264225805e+00	3.4264520831e+00	1.7132260415e+00	1.9897866249e-01	7.5472235680e-02	1.9897866249e-01	1.3943639653e+01	2.1221884083e+01	2.1221884083e+01	6.8544107676e-01	6.7680841684e-01	6.7680841684e-01	1.2350642681e-01	6.0611182809e-01	7.3936540247e-01	0.0000000000e+00	1.2350642681e+00	0.0000000000e+00	0.0000000000e+00
6.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.6672942569e+00	1.7476143183e+00	4.0575909882e+02	5.9169038127e+02	7.5909882107e-01	1.6903812727e+00	1.6903812727e+00	2.4494800937e+00	1.2247400469e+00	2.3390106857e-02	5.0835399888e-03	2.3390106857e-02	2.3765268511e+01	4.7957685799e+01	4.7957685799e+01	7.7643621713e-01	6.9553967426e-01	6.9553967426e-01	1.8306566868e-02	1.0330452236e+00	1.6708343860e+00	0.0000000000e+00	1.9166696742e+00	1.0000000000e+00	0.0000000000e+00
7.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.6672942569e+00	1.7476143183e+00	4.0491967994e+02	5.8833270574e+02	-8.0320061333e-02	-1.6672942569e+00	1.6672942569e+00	1.7476143183e+00	8.7380715913e-01	9.0210415423e-02	2.3381596431e-02	9.0210415423e-02	1.7873056740e+01	3.0142644501e+01	3.0142644501e+01	7.9292633384e-01	7.0968967117e-01	7.0968967117e-01	6.6828818992e-02	7.7691846350e-01	1.0501625772e+00	1.0000000000e+00	7.0453329153e-01	1.0000000000e+00	0.0000000000e+00
8.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	2.9264225805e+00	3.0067426419e+00	4.0449997050e+02	5.8707357742e+02	-5.0002950253e-01	-2.9264225805e+00	2.9264225805e+00	3.4264520831e+00	1.7132260415e+00	3.9899742603e-01	2.4314484000e-01	3.9899742603e-01	1.1181418352e+01	1.4691886914e+01	1.4691886914e+01	4.7282171249e-01	5.2731129527e-01	4.7282171249e-01	1.5585258603e-01	4.8604167111e-01	5.1186185159e-01	0.0000000000e+00	1.9949871302e+00	0.0000000000e+00	0.0000000000e+00
9.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	2.0870036981e+00	2.1673237595e+00	4.0449997050e+02	5.8791299630e+02	-5.0002950253e-01	-2.0870036981e+00	2.0870036981e+00	2.5870332007e+00	1.2935166003e+00	1.3413064182e-01	4.3199010193e-02	1.3413064182e-01	1.5637929982e+01	2.5072609561e+01	2.5072609561e+01	7.5718243420e-01	6.9753360003e-01	6.9753360003e-01	9.0931631625e-02	6.7976041876e-01	8.7352376378e-01	1.0000000000e+00	9.1497023212e-01	1.0000000000e+00	0.0000000000e+00
