Epoch 0 | Train Loss: 0.028393 | Val Loss: 0.024061
Epoch 1 | Train Loss: 0.013677 | Val Loss: 0.008751
Epoch 2 | Train Loss: 0.006889 | Val Loss: 0.005362
Epoch 3 | Train Loss: 0.004523 | Val Loss: 0.003857
Epoch 4 | Train Loss: 0.003606 | Val Loss: 0.003108
Epoch 5 | Train Loss: 0.002605 | Val Loss: 0.002308
Epoch 6 | Train Loss: 0.001961 | Val Loss: 0.001594
Epoch 7 | Train Loss: 0.001522 | Val Loss: 0.001568
Epoch 8 | Train Loss: 0.001426 | Val Loss: 0.001347
Epoch 9 | Train Loss: 0.001022 | Val Loss: 0.000836
Epoch 10 | Train Loss: 0.000727 | Val Loss: 0.000660
Epoch 11 | Train Loss: 0.000713 | Val Loss: 0.000972
Epoch 12 | Train Loss: 0.000986 | Val Loss: 0.000796
Epoch 13 | Train Loss: 0.000572 | Val Loss: 0.000485
Epoch 14 | Train Loss: 0.000408 | Val Loss: 0.000406
Epoch 15 | Train Loss: 0.000415 | Val Loss: 0.000452
Epoch 16 | Train Loss: 0.000748 | Val Loss: 0.000673
Epoch 17 | Train Loss: 0.000580 | Val Loss: 0.000469
Epoch 18 | Train Loss: 0.000442 | Val Loss: 0.000445
Epoch 19 | Train Loss: 0.000383 | Val Loss: 0.000398
Epoch 20 | Train Loss: 0.000358 | Val Loss: 0.000367
Epoch 21 | Train Loss: 0.000330 | Val Loss: 0.000334
Epoch 22 | Train Loss: 0.000299 | Val Loss: 0.000394
Epoch 23 | Train Loss: 0.000551 | Val Loss: 0.000828
Epoch 24 | Train Loss: 0.000732 | Val Loss: 0.000575
Epoch 25 | Train Loss: 0.000447 | Val Loss: 0.000424
Epoch 26 | Train Loss: 0.000352 | Val Loss: 0.000337
Epoch 27 | Train Loss: 0.000317 | Val Loss: 0.000351
Epoch 28 | Train Loss: 0.000329 | Val Loss: 0.000350
Epoch 29 | Train Loss: 0.000334 | Val Loss: 0.000316
Epoch 30 | Train Loss: 0.000284 | Val Loss: 0.000262
Epoch 31 | Train Loss: 0.000240 | Val Loss: 0.000283
Epoch 32 | Train Loss: 0.000238 | Val Loss: 0.000306
Epoch 33 | Train Loss: 0.000238 | Val Loss: 0.000315
