Epoch 0 | Train Loss: 82.230529 | Val Loss: 84.650482
Epoch 1 | Train Loss: 59.189952 | Val Loss: 62.991310
Epoch 2 | Train Loss: 51.537338 | Val Loss: 48.411236
Epoch 3 | Train Loss: 45.755634 | Val Loss: 46.771431
Epoch 4 | Train Loss: 42.660860 | Val Loss: 51.312187
Epoch 5 | Train Loss: 41.184819 | Val Loss: 38.896980
Epoch 6 | Train Loss: 39.506467 | Val Loss: 38.266312
Epoch 7 | Train Loss: 37.638275 | Val Loss: 35.558380
Epoch 8 | Train Loss: 36.402984 | Val Loss: 37.713066
Epoch 9 | Train Loss: 35.404897 | Val Loss: 33.233990
Epoch 10 | Train Loss: 34.196393 | Val Loss: 31.848907
Epoch 11 | Train Loss: 32.902858 | Val Loss: 30.633837
Epoch 12 | Train Loss: 32.013097 | Val Loss: 32.326183
Epoch 13 | Train Loss: 31.556325 | Val Loss: 28.501274
Epoch 14 | Train Loss: 30.480877 | Val Loss: 28.544804
Epoch 15 | Train Loss: 30.076293 | Val Loss: 29.584917
Epoch 16 | Train Loss: 29.609048 | Val Loss: 27.402662
Epoch 17 | Train Loss: 29.150765 | Val Loss: 27.395382
Epoch 18 | Train Loss: 28.558014 | Val Loss: 26.048561
Epoch 19 | Train Loss: 28.271460 | Val Loss: 25.787300
Epoch 20 | Train Loss: 27.781266 | Val Loss: 25.622906
Epoch 21 | Train Loss: 27.544874 | Val Loss: 28.972977
Epoch 22 | Train Loss: 27.174454 | Val Loss: 26.630535
Epoch 23 | Train Loss: 27.191672 | Val Loss: 25.955101
Epoch 24 | Train Loss: 26.879146 | Val Loss: 25.343987
Epoch 25 | Train Loss: 26.857339 | Val Loss: 25.183266
Epoch 26 | Train Loss: 26.155455 | Val Loss: 24.703701
Epoch 27 | Train Loss: 26.133483 | Val Loss: 24.622494
Epoch 28 | Train Loss: 26.342681 | Val Loss: 24.301903
Epoch 29 | Train Loss: 25.695557 | Val Loss: 24.757408
Epoch 30 | Train Loss: 25.392540 | Val Loss: 24.994232
Epoch 31 | Train Loss: 25.354585 | Val Loss: 22.741287
Epoch 32 | Train Loss: 24.915746 | Val Loss: 23.283447
Epoch 33 | Train Loss: 24.923160 | Val Loss: 23.893951
Epoch 34 | Train Loss: 25.108360 | Val Loss: 23.608334
Epoch 35 | Train Loss: 25.232729 | Val Loss: 23.252625
Epoch 36 | Train Loss: 24.736904 | Val Loss: 22.971272
Epoch 37 | Train Loss: 24.377812 | Val Loss: 23.369862
Epoch 38 | Train Loss: 24.426053 | Val Loss: 24.499603
Epoch 39 | Train Loss: 24.294923 | Val Loss: 22.443268
Epoch 40 | Train Loss: 24.381830 | Val Loss: 23.065689
Epoch 41 | Train Loss: 24.410984 | Val Loss: 22.750624
Epoch 42 | Train Loss: 24.489326 | Val Loss: 22.884663
Epoch 43 | Train Loss: 23.821126 | Val Loss: 22.659210
Epoch 44 | Train Loss: 23.592401 | Val Loss: 22.001308
Epoch 45 | Train Loss: 23.871112 | Val Loss: 23.084454
Epoch 46 | Train Loss: 23.445376 | Val Loss: 22.725117
Epoch 47 | Train Loss: 23.914530 | Val Loss: 22.579720
Epoch 48 | Train Loss: 23.942111 | Val Loss: 21.514389
Epoch 49 | Train Loss: 23.359351 | Val Loss: 22.110062
Epoch 50 | Train Loss: 23.655121 | Val Loss: 22.128317
Epoch 51 | Train Loss: 23.281852 | Val Loss: 22.495361
Epoch 52 | Train Loss: 23.342774 | Val Loss: 21.911701
Epoch 53 | Train Loss: 23.306632 | Val Loss: 21.894192
Epoch 54 | Train Loss: 23.449842 | Val Loss: 21.926437
Epoch 55 | Train Loss: 23.346014 | Val Loss: 21.878052
Epoch 56 | Train Loss: 23.035324 | Val Loss: 21.957399
Epoch 57 | Train Loss: 23.608689 | Val Loss: 21.747013
Epoch 58 | Train Loss: 22.941333 | Val Loss: 22.473793
Epoch 59 | Train Loss: 23.230282 | Val Loss: 22.546558
Epoch 60 | Train Loss: 22.740511 | Val Loss: 22.033649
Epoch 61 | Train Loss: 22.467761 | Val Loss: 21.101379
Epoch 62 | Train Loss: 22.633938 | Val Loss: 21.937088
Epoch 63 | Train Loss: 22.880642 | Val Loss: 20.516628
Epoch 64 | Train Loss: 22.780870 | Val Loss: 21.522213
Epoch 65 | Train Loss: 22.417259 | Val Loss: 20.739487
Epoch 66 | Train Loss: 22.222150 | Val Loss: 21.495979
Epoch 67 | Train Loss: 22.937809 | Val Loss: 21.602142
Epoch 68 | Train Loss: 22.114446 | Val Loss: 20.335819
Epoch 69 | Train Loss: 22.321304 | Val Loss: 20.700645
Epoch 70 | Train Loss: 22.157787 | Val Loss: 20.897383
Epoch 71 | Train Loss: 22.183078 | Val Loss: 20.508667
Epoch 72 | Train Loss: 21.911410 | Val Loss: 21.161213
Epoch 73 | Train Loss: 21.849400 | Val Loss: 20.643757
Epoch 74 | Train Loss: 21.873803 | Val Loss: 21.090294
Epoch 75 | Train Loss: 21.798561 | Val Loss: 20.271168
Epoch 76 | Train Loss: 21.776976 | Val Loss: 20.329941
Epoch 77 | Train Loss: 21.672596 | Val Loss: 20.472176
Epoch 78 | Train Loss: 21.744655 | Val Loss: 21.105301
Epoch 79 | Train Loss: 21.379746 | Val Loss: 19.978443
Epoch 80 | Train Loss: 21.609093 | Val Loss: 20.031693
Epoch 81 | Train Loss: 21.271449 | Val Loss: 19.825500
Epoch 82 | Train Loss: 21.249342 | Val Loss: 19.855265
Epoch 83 | Train Loss: 21.149396 | Val Loss: 19.770893
Epoch 84 | Train Loss: 20.874445 | Val Loss: 19.734629
Epoch 85 | Train Loss: 21.073166 | Val Loss: 19.580105
Epoch 86 | Train Loss: 20.721489 | Val Loss: 19.779232
Epoch 87 | Train Loss: 20.869662 | Val Loss: 20.394413
Epoch 88 | Train Loss: 20.792633 | Val Loss: 19.876205
Epoch 89 | Train Loss: 20.583666 | Val Loss: 18.899788
Epoch 90 | Train Loss: 20.529806 | Val Loss: 19.005299
Epoch 91 | Train Loss: 20.589211 | Val Loss: 19.493248
Epoch 92 | Train Loss: 20.862030 | Val Loss: 19.601982
Epoch 93 | Train Loss: 20.552460 | Val Loss: 18.935081
Epoch 94 | Train Loss: 20.077651 | Val Loss: 18.242523
Epoch 95 | Train Loss: 20.305556 | Val Loss: 18.194973
Epoch 96 | Train Loss: 20.298557 | Val Loss: 19.044468
Epoch 97 | Train Loss: 20.213960 | Val Loss: 19.453444
Epoch 98 | Train Loss: 20.332486 | Val Loss: 18.811684
Epoch 99 | Train Loss: 19.992038 | Val Loss: 18.411537
Epoch 100 | Train Loss: 19.432226 | Val Loss: 17.982428
Epoch 101 | Train Loss: 19.895816 | Val Loss: 18.593843
Epoch 102 | Train Loss: 19.746899 | Val Loss: 18.939831
Epoch 103 | Train Loss: 19.792126 | Val Loss: 17.634621
Epoch 104 | Train Loss: 19.489834 | Val Loss: 17.613560
Epoch 105 | Train Loss: 19.744550 | Val Loss: 18.428993
Epoch 106 | Train Loss: 19.765002 | Val Loss: 18.235628
Epoch 107 | Train Loss: 19.622480 | Val Loss: 17.935818
Epoch 108 | Train Loss: 19.277465 | Val Loss: 18.227108
Epoch 109 | Train Loss: 18.920696 | Val Loss: 17.839554
Epoch 110 | Train Loss: 19.057649 | Val Loss: 18.063953
Epoch 111 | Train Loss: 18.958268 | Val Loss: 17.595535
Epoch 112 | Train Loss: 18.643952 | Val Loss: 17.418011
Epoch 113 | Train Loss: 18.204630 | Val Loss: 17.385513
Epoch 114 | Train Loss: 18.945284 | Val Loss: 16.959194
Epoch 115 | Train Loss: 18.572857 | Val Loss: 17.326561
Epoch 116 | Train Loss: 18.991659 | Val Loss: 17.341063
