wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
3.7973712158e+02	9.8165762424e-01	8.8241493702e-01	8.8105225563e-01
3.8015682983e+02	9.8154276609e-01	8.8450592756e-01	8.8297128677e-01
3.8057653809e+02	9.8142671585e-01	8.8639795780e-01	8.8460969925e-01
3.8099624634e+02	9.8130953312e-01	8.8823735714e-01	8.8606315851e-01
3.8141595459e+02	9.8119121790e-01	8.8986682892e-01	8.8751161098e-01
3.8183566284e+02	9.8107171059e-01	8.9145487547e-01	8.8904911280e-01
3.8225537109e+02	9.8095101118e-01	8.9302611351e-01	8.8997691870e-01
3.8267507935e+02	9.8082911968e-01	8.9438998699e-01	8.9143759012e-01
3.8309478760e+02	9.8070597649e-01	8.9563751221e-01	8.9317077398e-01
3.8351449585e+02	9.8058158159e-01	8.9678919315e-01	8.9388608932e-01
3.8393420410e+02	9.8045593500e-01	8.9769321680e-01	8.9501243830e-01
3.8435391235e+02	9.8032897711e-01	8.9867472649e-01	8.9608097076e-01
3.8477362061e+02	9.8020076752e-01	8.9954251051e-01	8.9696300030e-01
3.8519332886e+02	9.8007118702e-01	9.0013021231e-01	8.9794379473e-01
3.8561303711e+02	9.7994035482e-01	9.0058720112e-01	8.9798980951e-01
3.8603274536e+02	9.7980809212e-01	9.0133166313e-01	8.9873814583e-01
3.8645245361e+02	9.7967451811e-01	9.0140610933e-01	8.9944642782e-01
3.8687216187e+02	9.7953951359e-01	9.0141022205e-01	8.9998173714e-01
3.8729187012e+02	9.7940307856e-01	9.0166819096e-01	9.0049308538e-01
3.8771157837e+02	9.7926527262e-01	9.0188509226e-01	8.9999097586e-01
3.8813131714e+02	9.7912597656e-01	9.0189009905e-01	8.9949184656e-01
3.8855102539e+02	9.7898519039e-01	9.0181535482e-01	8.9923298359e-01
3.8897073364e+02	9.7884291410e-01	9.0162122250e-01	8.9902240038e-01
3.8939044189e+02	9.7869914770e-01	9.0147596598e-01	8.9895850420e-01
3.8981015015e+02	9.7855383158e-01	9.0102231503e-01	8.9835971594e-01
3.9022985840e+02	9.7840696573e-01	9.0054672956e-01	8.9793074131e-01
3.9064956665e+02	9.7825855017e-01	9.0018874407e-01	8.9741873741e-01
3.9106927490e+02	9.7810846567e-01	8.9981955290e-01	8.9688497782e-01
3.9148898315e+02	9.7795677185e-01	8.9928752184e-01	8.9642387629e-01
3.9190869141e+02	9.7780346870e-01	8.9867305756e-01	8.9559888840e-01
3.9232839966e+02	9.7764843702e-01	8.9810740948e-01	8.9493978024e-01
3.9274810791e+02	9.7749173641e-01	8.9730381966e-01	8.9423751831e-01
3.9316781616e+02	9.7733324766e-01	8.9672571421e-01	8.9358168840e-01
3.9358752441e+02	9.7717308998e-01	8.9604371786e-01	8.9259207249e-01
3.9400723267e+02	9.7701108456e-01	8.9533990622e-01	8.9226728678e-01
3.9442694092e+02	9.7684729099e-01	8.9433991909e-01	8.9111083746e-01
3.9484664917e+02	9.7668164968e-01	8.9369028807e-01	8.9040029049e-01
3.9526635742e+02	9.7651416063e-01	8.9298355579e-01	8.8998860121e-01
3.9568606567e+02	9.7634482384e-01	8.9204531908e-01	8.8795012236e-01
3.9610577393e+02	9.7617352009e-01	8.9125919342e-01	8.8799178600e-01
3.9652548218e+02	9.7600024939e-01	8.9032489061e-01	8.8666290045e-01
3.9694519043e+02	9.7582501173e-01	8.8951748610e-01	8.8647329807e-01
3.9736489868e+02	9.7564774752e-01	8.8879072666e-01	8.8479876518e-01
3.9778460693e+02	9.7546845675e-01	8.8809961081e-01	8.8447028399e-01
3.9820431519e+02	9.7528713942e-01	8.8743275404e-01	8.8323801756e-01
3.9862402344e+02	9.7510361671e-01	8.8660246134e-01	8.8233292103e-01
3.9904376221e+02	9.7491800785e-01	8.8598006964e-01	8.8127046824e-01
3.9946347046e+02	9.7473025322e-01	8.8444787264e-01	8.8065880537e-01
3.9988317871e+02	9.7454023361e-01	8.8414138556e-01	8.7952536345e-01
4.0030288696e+02	9.7434800863e-01	8.8347572088e-01	8.7932580709e-01
4.0072259521e+02	9.7415345907e-01	8.8299185038e-01	8.7844634056e-01
4.0114230347e+02	9.7395664454e-01	8.8287001848e-01	8.7719237804e-01
4.0156201172e+02	9.7375744581e-01	8.8165807724e-01	8.7709367275e-01
4.0198171997e+02	9.7355586290e-01	8.8068032265e-01	8.7633663416e-01
4.0240142822e+02	9.7335183620e-01	8.8018321991e-01	8.7550288439e-01
