wavelength_nm	ideal_target_transmittance	tandem_response_transmittance
3.7973711347e+02	9.6733242273e-01	9.0863996744e-01
3.8015682291e+02	9.6708071232e-01	9.0773946047e-01
3.8057653235e+02	9.6682602167e-01	9.0697634220e-01
3.8099624179e+02	9.6656823158e-01	9.0576463938e-01
3.8141595123e+02	9.6630734205e-01	9.0446686745e-01
3.8183566067e+02	9.6604329348e-01	9.0363043547e-01
3.8225537011e+02	9.6577602625e-01	9.0290415287e-01
3.8267507956e+02	9.6550554037e-01	9.0115880966e-01
3.8309478900e+02	9.6523171663e-01	9.0001118183e-01
3.8351449844e+02	9.6495449543e-01	8.9894676208e-01
3.8393420788e+02	9.6467387676e-01	8.9736276865e-01
3.8435391732e+02	9.6438974142e-01	8.9647817612e-01
3.8477362676e+02	9.6410202980e-01	8.9511370659e-01
3.8519333620e+02	9.6381074190e-01	8.9416110516e-01
3.8561304564e+02	9.6351581812e-01	8.9372450113e-01
3.8603275508e+02	9.6321713924e-01	8.9155071974e-01
3.8645246453e+02	9.6291464567e-01	8.8918870687e-01
3.8687217397e+02	9.6260827780e-01	8.8818234205e-01
3.8729188341e+02	9.6229803562e-01	8.8728290796e-01
3.8771159285e+02	9.6198374033e-01	8.8596725464e-01
3.8813130229e+02	9.6166539192e-01	8.8433825970e-01
3.8855101173e+02	9.6134287119e-01	8.8301825523e-01
3.8897072117e+02	9.6101617813e-01	8.8232982159e-01
3.8939043061e+02	9.6068519354e-01	8.8152909279e-01
3.8981014006e+02	9.6034985781e-01	8.8038408756e-01
3.9022984950e+02	9.6001005173e-01	8.7866067886e-01
3.9064955894e+02	9.5966571569e-01	8.7747645378e-01
3.9106926838e+02	9.5931679010e-01	8.7626540661e-01
3.9148897782e+02	9.5896315575e-01	8.7526965141e-01
3.9190868726e+02	9.5860475302e-01	8.7411719561e-01
3.9232839670e+02	9.5824152231e-01	8.7279289961e-01
3.9274810614e+02	9.5787328482e-01	8.7247139215e-01
3.9316781559e+02	9.5750004053e-01	8.7101882696e-01
3.9358752503e+02	9.5712161064e-01	8.6958116293e-01
3.9400723447e+02	9.5673799515e-01	8.6873775721e-01
3.9442694391e+02	9.5634901524e-01	8.6783361435e-01
3.9484665335e+02	9.5595461130e-01	8.6720710993e-01
3.9526636279e+02	9.5555460453e-01	8.6561709642e-01
3.9568607223e+02	9.5514905453e-01	8.6535769701e-01
3.9610578167e+02	9.5473766327e-01	8.6493337154e-01
3.9652549111e+02	9.5432043076e-01	8.6405426264e-01
3.9694520056e+02	9.5389723778e-01	8.6320525408e-01
3.9736491000e+02	9.5346796513e-01	8.6286610365e-01
3.9778461944e+02	9.5303243399e-01	8.6221015453e-01
3.9820432888e+02	9.5259064436e-01	8.6093109846e-01
3.9862403832e+02	9.5214229822e-01	8.6072176695e-01
3.9904374776e+02	9.5168739557e-01	8.6008179188e-01
3.9946345720e+02	9.5122581720e-01	8.5919600725e-01
3.9988316664e+02	9.5075732470e-01	8.5824549198e-01
4.0030287609e+02	9.5028185844e-01	8.5837894678e-01
4.0072258553e+02	9.4979923964e-01	8.5783141851e-01
4.0114229497e+02	9.4930934906e-01	8.5762196779e-01
4.0156200441e+02	9.4881200790e-01	8.5750389099e-01
4.0198171385e+02	9.4830709696e-01	8.5650783777e-01
4.0240142329e+02	9.4779443741e-01	8.5583710670e-01
4.0282113273e+02	9.4727385044e-01	8.5596454144e-01
4.0324084217e+02	9.4674521685e-01	8.5516905785e-01
4.0366055162e+02	9.4620835781e-01	8.5547244549e-01
4.0408026106e+02	9.4566309452e-01	8.5500711203e-01
4.0449997050e+02	9.4510918856e-01	8.5521262884e-01
4.0491967994e+02	9.4454652071e-01	8.5435879230e-01
4.0533938938e+02	9.4397491217e-01	8.5447472334e-01
4.0575909882e+02	9.4339412451e-01	8.5403782129e-01
4.0617880826e+02	9.4280397892e-01	8.5392981768e-01
4.0659851770e+02	9.4220429659e-01	8.5258531570e-01
