comparison	final_network_vs_angle_averaged_cst
angles_deg	0,30,60
spectrum_rmse	5.5953800058e-02
network_notch1_wavelength_nm	448.9891712647
network_notch1_transmittance	3.3007241786e-02
network_notch2_wavelength_nm	553.9165315647
network_notch2_transmittance	2.4870479479e-02
cst_notch1_wavelength_nm	454.0256845591
cst_notch1_transmittance	3.0244140391e-02
cst_notch2_wavelength_nm	552.6574032411
cst_notch2_transmittance	2.2636069945e-02
notch1_shift_nm	5.0365132944
notch2_shift_nm	-1.2591283236
