wavelength_nm	final_network_transmittance	cst_average_transmittance
4.1835038206e+02	6.5740424395e-01	7.1909075542e-01
4.1877009150e+02	6.5363872051e-01	7.1511259911e-01
4.1918980094e+02	6.4891105890e-01	7.1099709978e-01
4.1960951038e+02	6.4100909233e-01	7.0674075856e-01
4.2002921982e+02	6.3531982899e-01	7.0232655361e-01
4.2044892926e+02	6.3046437502e-01	6.9776440095e-01
4.2086863870e+02	6.2295949459e-01	6.9305134569e-01
4.2128834815e+02	6.1643904448e-01	6.8817706666e-01
4.2170805759e+02	6.1061131954e-01	6.8313710272e-01
4.2212776703e+02	6.0375952721e-01	6.7793715869e-01
4.2254747647e+02	5.9376162291e-01	6.7257375296e-01
4.2296718591e+02	5.8652037382e-01	6.6702879576e-01
4.2338689535e+02	5.7885426283e-01	6.6131639574e-01
4.2380660479e+02	5.7217824459e-01	6.5543479769e-01
4.2422631423e+02	5.6520837545e-01	6.4936700970e-01
4.2464602368e+02	5.5336183310e-01	6.4312218868e-01
4.2506573312e+02	5.4619532824e-01	6.3670339199e-01
4.2548544256e+02	5.3855508566e-01	6.3009680115e-01
4.2590515200e+02	5.3064113855e-01	6.2330628813e-01
4.2632486144e+02	5.1942944527e-01	6.1633940520e-01
4.2674457088e+02	5.1059991121e-01	6.0918391851e-01
4.2716428032e+02	4.9890223145e-01	6.0184201974e-01
4.2758398976e+02	4.9014517665e-01	5.9432394686e-01
4.2800369920e+02	4.7953459620e-01	5.8661732504e-01
4.2842340865e+02	4.6977269650e-01	5.7872654512e-01
4.2884311809e+02	4.5865744352e-01	5.7066248907e-01
4.2926282753e+02	4.4802746177e-01	5.6241094838e-01
4.2968253697e+02	4.3725055456e-01	5.5398233354e-01
4.3010224641e+02	4.2755129933e-01	5.4538606544e-01
4.3052195585e+02	4.1689029336e-01	5.3660463935e-01
4.3094166529e+02	4.0518951416e-01	5.2765786730e-01
4.3136137473e+02	3.9408487082e-01	5.1854910003e-01
4.3178108418e+02	3.8448393345e-01	5.0926443969e-01
4.3220079362e+02	3.7332570553e-01	4.9982771501e-01
4.3262050306e+02	3.6340656877e-01	4.9023313702e-01
4.3304021250e+02	3.5374116898e-01	4.8048235286e-01
4.3345992194e+02	3.4226658940e-01	4.7059218754e-01
4.3387963138e+02	3.3033224940e-01	4.6055060245e-01
4.3429934082e+02	3.2006633282e-01	4.5037586499e-01
4.3471905026e+02	3.0785599351e-01	4.4007237772e-01
4.3513875971e+02	2.9742395878e-01	4.2963604134e-01
4.3555846915e+02	2.8457176685e-01	4.1908747549e-01
4.3597817859e+02	2.7259817719e-01	4.0842021338e-01
4.3639788803e+02	2.6069766283e-01	3.9764892318e-01
4.3681759747e+02	2.4818590283e-01	3.8678097133e-01
4.3723730691e+02	2.3583914340e-01	3.7581643581e-01
4.3765701635e+02	2.2227934003e-01	3.6477382592e-01
4.3807672579e+02	2.1113100648e-01	3.5365068075e-01
4.3849643523e+02	1.9957096875e-01	3.4246353101e-01
4.3891614468e+02	1.8829429150e-01	3.3121814604e-01
4.3933585412e+02	1.7613142729e-01	3.1992330437e-01
4.3975556356e+02	1.6502097249e-01	3.0859183940e-01
4.4017527300e+02	1.5501271188e-01	2.9722986680e-01
4.4059498244e+02	1.4349693060e-01	2.8585216976e-01
4.4101469188e+02	1.3332204521e-01	2.7446841557e-01
4.4143440132e+02	1.2387314439e-01	2.6309163491e-01
4.4185411076e+02	1.1371465027e-01	2.5173481060e-01
4.4227382021e+02	1.0472150147e-01	2.4041300397e-01
4.4269352965e+02	9.6068583429e-02	2.2913866680e-01
4.4311323909e+02	8.8516622782e-02	2.1793433026e-01
4.4353294853e+02	8.0885022879e-02	2.0680734654e-01
4.4395265797e+02	7.3814161122e-02	1.9579368336e-01
4.4437236741e+02	6.7905433476e-02	1.8489379288e-01
4.4479207685e+02	6.1461243778e-02	1.7415361386e-01
4.4521178629e+02	5.6719020009e-02	1.6357442359e-01
4.4563149574e+02	5.1694694906e-02	1.5320448990e-01
4.4605120518e+02	4.7546859831e-02	1.4305266194e-01
4.4647091462e+02	4.3560534716e-02	1.3316476875e-01
4.4689062406e+02	4.0354724973e-02	1.2355936594e-01
4.4731033350e+02	3.8074646145e-02	1.1427593036e-01
4.4773004294e+02	3.5628940910e-02	1.0534316216e-01
4.4814975238e+02	3.3539310098e-02	9.6790562376e-02
