candidate_index	selected	final_notch_valid	final_wavelength_eligible	cvae_wavelength_eligible	jointly_eligible	cvae_min_wavelength_nm	cvae_abs_wavelength_error_nm	cvae_min_transmittance	cvae_fwhm_nm	final_min_wavelength_nm	final_wavelength_error_nm	final_abs_wavelength_error_nm	final_min_transmittance	final_baseline_transmittance	final_notch_depth	final_fwhm_nm	valley_penalty_normalized	fwhm_penalty_normalized	quality_score	ideal_to_final_mse	cvae_to_final_mse	R	n_host
0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	4.6619726562e+02	3.8027343750e+00	6.2626518309e-02	3.4364158403e+01	4.6745639038e+02	-2.5436096191e+00	2.5436096191e+00	1.3922486454e-02	9.8576396704e-01	9.7184148058e-01	3.0587410735e+01	inf	inf	inf	1.8587362863e-03	7.1777933044e-04	4.7583799362e+00	1.9663916826e+00
1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.6619726562e+02	3.8027343750e+00	2.0784409717e-02	4.9101596608e+01	4.6829580688e+02	-1.7041931152e+00	1.7041931152e+00	2.5237458758e-03	9.8095655441e-01	9.7843280854e-01	4.7029322557e+01	2.5237458758e-02	1.5676440852e+00	7.9644077200e-01	1.1139370220e-02	1.4749293041e-04	5.9632310867e+00	1.9476845264e+00
2.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	4.6619726562e+02	3.8027343750e+00	7.4330188334e-02	2.6683013927e+01	4.6703668213e+02	-2.9633178711e+00	2.9633178711e+00	4.8698965460e-02	9.8802781105e-01	9.3932884559e-01	2.5235437649e+01	inf	inf	inf	2.4273199577e-03	6.6395226168e-04	4.1951341629e+00	1.9697375298e+00
3.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.6619726562e+02	3.8027343750e+00	6.2225464731e-02	2.7629153686e+01	4.6829580688e+02	-1.7041931152e+00	1.7041931152e+00	3.7370018661e-02	9.8682075739e-01	9.4945073873e-01	2.6955988117e+01	3.7370018661e-01	8.9853293723e-01	6.3611656192e-01	1.8973430033e-03	8.2458002726e-04	4.3545598984e+00	1.9694106579e+00
4.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	4.7165347290e+02	1.6534729004e+00	2.2028616071e-01	2.4103325392e+01	4.6829580688e+02	-1.7041931152e+00	1.7041931152e+00	1.4950835705e-01	9.8882675171e-01	8.3931839466e-01	2.1130987409e+01	inf	inf	inf	6.3144802126e-03	7.0193840656e-04	3.5503830910e+00	1.9761949778e+00
5.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.6619726562e+02	3.8027343750e+00	2.3648107890e-03	5.6428379015e+01	4.6913522339e+02	-8.6477661133e-01	8.6477661133e-01	1.4513093047e-03	9.8007303476e-01	9.7862172546e-01	5.5084546337e+01	1.4513093047e-02	1.8361515446e+00	9.2533231880e-01	1.8821074127e-02	5.1058599638e-05	6.4281501770e+00	1.9479374886e+00
6.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	4.7123376465e+02	1.2337646484e+00	1.6179822385e-01	2.3385851258e+01	4.6913522339e+02	-8.6477661133e-01	8.6477661133e-01	1.2720713019e-01	9.8819190264e-01	8.6098477244e-01	2.1802665648e+01	inf	inf	inf	5.3008344279e-03	2.9012875166e-04	3.6490082741e+00	1.9761946201e+00
7.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	4.6619726562e+02	3.8027343750e+00	2.7465499938e-02	2.5310919196e+01	4.6661697388e+02	-3.3830261230e+00	3.3830261230e+00	2.8854299337e-02	9.8670268059e-01	9.5784838125e-01	2.5941375807e+01	inf	inf	inf	2.5716347287e-03	2.0459191001e-04	4.3075513840e+00	1.9580266476e+00
8.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	4.6619726562e+02	3.8027343750e+00	5.4555602372e-02	3.6219301565e+01	4.6745639038e+02	-2.5436096191e+00	2.5436096191e+00	8.6816595867e-03	9.8542678356e-01	9.7674512397e-01	3.2727525440e+01	inf	inf	inf	2.5386589417e-03	5.3449440747e-04	4.9668674469e+00	1.9599953890e+00
9.0000000000e+00	0.0000000000e+00	1.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	4.5948190308e+02	1.0518096924e+01	4.5201525092e-02	4.7385874335e+01	4.6745639038e+02	-2.5436096191e+00	2.5436096191e+00	3.2499602530e-03	9.8146533966e-01	9.7821537941e-01	4.3098710135e+01	inf	inf	inf	8.1188409842e-03	3.7814149982e-04	5.7227048874e+00	1.9490998983e+00
