wavelength_nm	final_result_transmittance	cst_average_transmittance
3.7973711347e+02	8.3596146107e-01	8.4097435077e-01
3.8015682291e+02	8.3502240538e-01	8.3946343263e-01
3.8057653235e+02	8.3340790096e-01	8.3786646525e-01
3.8099624179e+02	8.3213026716e-01	8.3617381255e-01
3.8141595123e+02	8.3085222075e-01	8.3437655369e-01
3.8183566067e+02	8.2863177016e-01	8.3246638378e-01
3.8225537011e+02	8.2605445984e-01	8.3043541511e-01
3.8267507956e+02	8.2388478401e-01	8.2827629646e-01
3.8309478900e+02	8.2149826515e-01	8.2598171631e-01
3.8351449844e+02	8.1859711898e-01	8.2354468107e-01
3.8393420788e+02	8.1552318444e-01	8.2095817725e-01
3.8435391732e+02	8.1299581055e-01	8.1821521123e-01
3.8477362676e+02	8.0957598589e-01	8.1530869007e-01
3.8519333620e+02	8.0625574466e-01	8.1223128239e-01
3.8561304564e+02	8.0209684376e-01	8.0897440513e-01
3.8603275508e+02	7.9916741733e-01	8.0553060770e-01
3.8645246453e+02	7.9500170083e-01	8.0189249913e-01
3.8687217397e+02	7.9100281500e-01	7.9805153608e-01
3.8729188341e+02	7.8704026680e-01	7.9399879773e-01
3.8771159285e+02	7.8244042628e-01	7.8972474734e-01
3.8813130229e+02	7.7732420187e-01	7.8521939119e-01
3.8855101173e+02	7.7251938720e-01	7.8047217925e-01
3.8897072117e+02	7.6723776054e-01	7.7547200521e-01
3.8939043061e+02	7.6206352307e-01	7.7020700773e-01
3.8981014006e+02	7.5585672286e-01	7.6466488838e-01
3.9022984950e+02	7.4980337348e-01	7.5883261363e-01
3.9064955894e+02	7.4350165979e-01	7.5269653400e-01
3.9106926838e+02	7.3665254028e-01	7.4624230464e-01
3.9148897782e+02	7.2973397219e-01	7.3945492506e-01
3.9190868726e+02	7.2212465178e-01	7.3231838147e-01
3.9232839670e+02	7.1457856250e-01	7.2481538852e-01
3.9274810614e+02	7.0586780398e-01	7.1692627668e-01
3.9316781559e+02	6.9644273618e-01	7.0862710476e-01
3.9358752503e+02	6.8697904091e-01	6.9988665978e-01
