case	410
design_wavelength_nm	410.0000000000
validation_type	nearest_angle_averaged_CST_dataset_simulation
exact_structure_CST_simulation	0
provenance_note	existing_dataset_simulation_not_exact_final_structure
selection_metric	minimum_full_spectrum_MSE_to_final_network_response
structure_distance_used_for_selection	0
dataset_spectrum_definition	(T_0deg+T_30deg+T_60deg)/3
dataset_sample_count	1312
dataset_angle_count	3
dataset_root	/home/yuxiao/Yuxiao Li/batch3
related_spectra_file	/home/yuxiao/Yuxiao Li/tandem/1peak/data/y_related.pt
final_network_response_source_file	/home/yuxiao/Yuxiao Li/tandem/1peak/410/cvae/cvae_data.txt
final_network_structure_source_file	/home/yuxiao/Yuxiao Li/tandem/1peak/410/cvae/cvae_structure.txt
final_network_R	4.8444652557
final_network_n_host	1.5478485823
selected_dataset_index_zero_based	737
selected_dataset_row_one_based	738
selected_dataset_structure_file	/home/yuxiao/Yuxiao Li/batch3/00738.a
selected_dataset_reference_b_file	/home/yuxiao/Yuxiao Li/batch3/00738.b
selected_dataset_R	4.8000000000
selected_dataset_n_host	1.5500000000
selected_minus_final_R	-0.0444652557
selected_minus_final_n_host	0.0021514177
full_spectrum_MSE_distance	1.9103282544e-05
full_spectrum_RMSE	4.3707302072e-03
full_spectrum_MAE	1.7619420049e-03
full_spectrum_maximum_absolute_error	2.7285977861e-02
full_spectrum_correlation	9.9972803967e-01
final_response_min_wavelength_nm	410.3759026743
final_response_min_transmittance	2.5990284212e-02
final_response_absolute_design_wavelength_error_nm	0.3759026743
nearest_CST_min_wavelength_nm	410.7956121155
nearest_CST_min_transmittance	2.4932786822e-02
nearest_CST_absolute_design_wavelength_error_nm	0.7956121155
nearest_CST_minus_final_peak_wavelength_nm	0.4197094412
nearest_CST_absolute_final_peak_wavelength_error_nm	0.4197094412
