wavelength_nm	final_network_transmittance	cst_average_transmittance
3.7973711347e+02	8.9137643576e-01	8.9191231860e-01
3.8015682291e+02	8.9090704918e-01	8.9092099496e-01
3.8057653235e+02	8.8984441757e-01	8.8990195029e-01
3.8099624179e+02	8.8986301422e-01	8.8886067979e-01
3.8141595123e+02	8.8930767775e-01	8.8780256734e-01
3.8183566067e+02	8.8936728239e-01	8.8673283088e-01
3.8225537011e+02	8.8768148422e-01	8.8565647432e-01
3.8267507956e+02	8.8738137484e-01	8.8457824624e-01
3.8309478900e+02	8.8559645414e-01	8.8350260582e-01
3.8351449844e+02	8.8519257307e-01	8.8243369566e-01
3.8393420788e+02	8.8438653946e-01	8.8137532151e-01
3.8435391732e+02	8.8414448500e-01	8.8033093857e-01
3.8477362676e+02	8.8288402557e-01	8.7930364381e-01
3.8519333620e+02	8.8211160898e-01	8.7829617407e-01
3.8561304564e+02	8.8123905659e-01	8.7731105198e-01
3.8603275508e+02	8.8006305695e-01	8.7635027803e-01
3.8645246453e+02	8.7852412462e-01	8.7541542781e-01
3.8687217397e+02	8.7723022699e-01	8.7450785819e-01
3.8729188341e+02	8.7678784132e-01	8.7362862222e-01
3.8771159285e+02	8.7511652708e-01	8.7277848852e-01
3.8813130229e+02	8.7376648188e-01	8.7195796219e-01
3.8855101173e+02	8.7339639664e-01	8.7116730688e-01
3.8897072117e+02	8.7294191122e-01	8.7040656735e-01
3.8939043061e+02	8.7149035931e-01	8.6967559246e-01
3.8981014006e+02	8.7116777897e-01	8.6897405798e-01
3.9022984950e+02	8.6945718527e-01	8.6830148906e-01
3.9064955894e+02	8.6906522512e-01	8.6765728216e-01
3.9106926838e+02	8.6793589592e-01	8.6704072608e-01
3.9148897782e+02	8.6692756414e-01	8.6645102217e-01
3.9190868726e+02	8.6682492495e-01	8.6588730328e-01
3.9232839670e+02	8.6506712437e-01	8.6534865167e-01
3.9274810614e+02	8.6461991072e-01	8.6483411563e-01
3.9316781559e+02	8.6490154266e-01	8.6434272472e-01
3.9358752503e+02	8.6299890280e-01	8.6387350387e-01
3.9400723447e+02	8.6258703470e-01	8.6342555744e-01
3.9442694391e+02	8.6132061481e-01	8.6299802793e-01
3.9484665335e+02	8.6120229959e-01	8.6258983562e-01
3.9526636279e+02	8.6070179939e-01	8.6220009946e-01
3.9568607223e+02	8.5964405537e-01	8.6182798512e-01
3.9610578167e+02	8.6073535681e-01	8.6147271148e-01
3.9652549111e+02	8.5953408480e-01	8.6113355602e-01
3.9694520056e+02	8.5932600498e-01	8.6080985920e-01
3.9736491000e+02	8.5866647959e-01	8.6050102783e-01
3.9778461944e+02	8.5688817501e-01	8.6020653749e-01
3.9820432888e+02	8.5641497374e-01	8.5992593414e-01
3.9862403832e+02	8.5616463423e-01	8.5965883487e-01
3.9904374776e+02	8.5577225685e-01	8.5940492800e-01
3.9946345720e+02	8.5672158003e-01	8.5916397244e-01
3.9988316664e+02	8.5550212860e-01	8.5893593189e-01
4.0030287609e+02	8.5572403669e-01	8.5872079763e-01
4.0072258553e+02	8.5431408882e-01	8.5851832064e-01
4.0114229497e+02	8.5404640436e-01	8.5832853128e-01
4.0156200441e+02	8.5510766506e-01	8.5815151951e-01
4.0198171385e+02	8.5388463736e-01	8.5798743139e-01
4.0240142329e+02	8.5525882244e-01	8.5783646526e-01
4.0282113273e+02	8.5455507040e-01	8.5769886758e-01
4.0324084217e+02	8.5413694382e-01	8.5757492870e-01
4.0366055162e+02	8.5479819775e-01	8.5746544572e-01
4.0408026106e+02	8.5479921103e-01	8.5737046516e-01
4.0449997050e+02	8.5501229763e-01	8.5729029490e-01
4.0491967994e+02	8.5591375828e-01	8.5722536037e-01
4.0533938938e+02	8.5416948795e-01	8.5717610675e-01
4.0575909882e+02	8.5553544760e-01	8.5714299411e-01
4.0617880826e+02	8.5444563627e-01	8.5712650546e-01
