wavelength_nm	final_network_transmittance	cst_average_transmittance
3.7973711347e+02	8.8105225563e-01	8.7281158282e-01
3.8015682291e+02	8.8297128677e-01	8.7480699113e-01
3.8057653235e+02	8.8460969925e-01	8.7673947135e-01
3.8099624179e+02	8.8606315851e-01	8.7860075809e-01
3.8141595123e+02	8.8751161098e-01	8.8038319532e-01
3.8183566067e+02	8.8904911280e-01	8.8207979096e-01
3.8225537011e+02	8.8997691870e-01	8.8368426413e-01
3.8267507956e+02	8.9143759012e-01	8.8519108430e-01
3.8309478900e+02	8.9317077398e-01	8.8659550164e-01
3.8351449844e+02	8.9388608932e-01	8.8789356808e-01
3.8393420788e+02	8.9501243830e-01	8.8908214887e-01
3.8435391732e+02	8.9608097076e-01	8.9015892462e-01
3.8477362676e+02	8.9696300030e-01	8.9112238378e-01
3.8519333620e+02	8.9794379473e-01	8.9197180612e-01
3.8561304564e+02	8.9798980951e-01	8.9270657009e-01
3.8603275508e+02	8.9873814583e-01	8.9332773485e-01
3.8645246453e+02	8.9944642782e-01	8.9383731151e-01
3.8687217397e+02	8.9998173714e-01	8.9423742808e-01
3.8729188341e+02	9.0049308538e-01	8.9453080263e-01
3.8771159285e+02	8.9999097586e-01	8.9472068816e-01
3.8813130229e+02	8.9949184656e-01	8.9481081455e-01
3.8855101173e+02	8.9923298359e-01	8.9480532878e-01
3.8897072117e+02	8.9902240038e-01	8.9470873431e-01
3.8939043061e+02	8.9895850420e-01	8.9452583064e-01
3.8981014006e+02	8.9835971594e-01	8.9426165396e-01
3.9022984950e+02	8.9793074131e-01	8.9392141965e-01
3.9064955894e+02	8.9741873741e-01	8.9351046731e-01
3.9106926838e+02	8.9688497782e-01	8.9303420893e-01
3.9148897782e+02	8.9642387629e-01	8.9249808063e-01
3.9190868726e+02	8.9559888840e-01	8.9190749832e-01
3.9232839670e+02	8.9493978024e-01	8.9126781759e-01
3.9274810614e+02	8.9423751831e-01	8.9058429786e-01
3.9316781559e+02	8.9358168840e-01	8.8986207095e-01
3.9358752503e+02	8.9259207249e-01	8.8910611397e-01
3.9400723447e+02	8.9226728678e-01	8.8832114090e-01
3.9442694391e+02	8.9111083746e-01	8.8751170022e-01
3.9484665335e+02	8.9040029049e-01	8.8668240966e-01
3.9526636279e+02	8.8998860121e-01	8.8583744458e-01
3.9568607223e+02	8.8795012236e-01	8.8498074808e-01
3.9610578167e+02	8.8799178600e-01	8.8411602628e-01
3.9652549111e+02	8.8666290045e-01	8.8324674633e-01
3.9694520056e+02	8.8647329807e-01	8.8237613697e-01
3.9736491000e+02	8.8479876518e-01	8.8150719122e-01
3.9778461944e+02	8.8447028399e-01	8.8064267092e-01
3.9820432888e+02	8.8323801756e-01	8.7978511293e-01
3.9862403832e+02	8.8233292103e-01	8.7893683650e-01
3.9904374776e+02	8.8127046824e-01	8.7809995187e-01
3.9946345720e+02	8.8065880537e-01	8.7727636960e-01
3.9988316664e+02	8.7952536345e-01	8.7646798845e-01
4.0030287609e+02	8.7932580709e-01	8.7567653430e-01
4.0072258553e+02	8.7844634056e-01	8.7490311638e-01
4.0114229497e+02	8.7719237804e-01	8.7414894068e-01
4.0156200441e+02	8.7709367275e-01	8.7341506622e-01
4.0198171385e+02	8.7633663416e-01	8.7270241588e-01
