candidate_index	condition_order_code	valid	candidate_spectrum_valid	candidate_spectrum_maximum_absolute_error_nm	candidate_spectrum_summed_absolute_error_nm	peak1_wavelength_nm	peak2_wavelength_nm	peak1_signed_error_nm	peak2_signed_error_nm	maximum_absolute_error_nm	summed_absolute_error_nm	mean_absolute_error_nm	peak1_transmittance	peak2_transmittance	worst_valley_transmittance	peak1_fwhm_nm	peak2_fwhm_nm	widest_fwhm_nm	peak1_prominence	peak2_prominence	minimum_prominence	valley_transmittance_imbalance	peak1_fwhm_to_ideal_ratio	peak2_fwhm_to_ideal_ratio	shape_gate_passed	shape_minimax_score	inside_position_window	selected
5.7000000000e+01	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	8.8656688469e+01	1.3709468406e+02	4.0408026106e+02	4.4437236741e+02	-4.5919738944e+01	-1.3062763259e+02	1.3062763259e+02	1.7654737153e+02	8.8273685766e+01	4.3399006128e-01	3.6360812187e-01	4.3399006128e-01	9.5053238424e+00	1.3935642342e+01	1.3935642342e+01	3.9854580164e-01	5.8935916424e-01	3.9854580164e-01	7.0381939411e-02	3.4762372594e-01	4.8097466344e-01	0.0000000000e+00	2.1699503064e+00	0.0000000000e+00	0.0000000000e+00
5.8000000000e+01	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	8.8656688469e+01	1.3709468406e+02	4.0408026106e+02	4.5906219785e+02	-4.5919738944e+01	-1.1593780215e+02	1.1593780215e+02	1.6185754109e+02	8.0928770545e+01	3.3447358012e-01	2.9318135977e-01	3.3447358012e-01	1.0957569141e+01	1.4013753493e+01	1.4013753493e+01	5.1114043593e-01	6.6861289740e-01	5.1114043593e-01	4.1292220354e-02	4.0073448049e-01	4.8367059114e-01	0.0000000000e+00	1.7121871986e+00	0.0000000000e+00	0.0000000000e+00
5.9000000000e+01	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	8.7397560145e+01	1.3583555574e+02	4.0408026106e+02	4.7375202830e+02	-4.5919738944e+01	-1.0124797170e+02	1.0124797170e+02	1.4716771065e+02	7.3583855324e+01	2.0342189074e-01	1.5287810564e-01	2.0342189074e-01	1.3594969990e+01	1.8946912538e+01	1.8946912538e+01	6.6696828604e-01	8.0049425364e-01	6.6696828604e-01	5.0543785095e-02	4.9718812324e-01	6.5393360833e-01	0.0000000000e+00	1.4366053622e+00	0.0000000000e+00	0.0000000000e+00
6.0000000000e+01	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	8.8656688469e+01	1.3709468406e+02	4.0408026106e+02	4.5906219785e+02	-4.5919738944e+01	-1.1593780215e+02	1.1593780215e+02	1.6185754109e+02	8.0928770545e+01	3.4070813656e-01	5.0614088774e-01	5.0614088774e-01	1.3704488940e+01	2.1294525442e+01	2.1294525442e+01	6.2494426966e-01	3.5815280676e-01	3.5815280676e-01	1.6543275118e-01	5.0119339291e-01	7.3495910384e-01	0.0000000000e+00	2.5307044387e+00	0.0000000000e+00	0.0000000000e+00
6.1000000000e+01	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	8.8656688469e+01	1.3709468406e+02	4.0408026106e+02	4.5906219785e+02	-4.5919738944e+01	-1.1593780215e+02	1.1593780215e+02	1.6185754109e+02	8.0928770545e+01	3.2910272479e-01	2.5116342306e-01	3.2910272479e-01	1.0924509201e+01	1.3747602616e+01	1.3747602616e+01	5.1483908296e-01	7.0983499289e-01	5.1483908296e-01	7.7939301729e-02	3.9952542969e-01	4.7448466160e-01	0.0000000000e+00	1.7156416295e+00	0.0000000000e+00	0.0000000000e+00
6.2000000000e+01	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	8.8656688469e+01	1.3709468406e+02	4.0408026106e+02	4.5906219785e+02	-4.5919738944e+01	-1.1593780215e+02	1.1593780215e+02	1.6185754109e+02	8.0928770545e+01	2.5665298104e-01	1.7745071650e-01	2.5665298104e-01	1.2094828915e+01	1.5642564598e+01	1.5642564598e+01	5.8397850394e-01	7.7227485180e-01	5.8397850394e-01	7.9202264547e-02	4.4232574941e-01	5.3988736636e-01	0.0000000000e+00	1.5933550017e+00	0.0000000000e+00	0.0000000000e+00
6.3000000000e+01	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	8.8656688469e+01	1.3709468406e+02	4.0408026106e+02	4.5906219785e+02	-4.5919738944e+01	-1.1593780215e+02	1.1593780215e+02	1.6185754109e+02	8.0928770545e+01	3.0591642857e-01	4.6458968520e-01	4.6458968520e-01	1.3975827116e+01	2.1707269162e+01	2.1707269162e+01	6.5607559681e-01	3.9508327842e-01	3.9508327842e-01	1.5867325664e-01	5.1111663060e-01	7.4920453773e-01	0.0000000000e+00	2.3229484260e+00	0.0000000000e+00	0.0000000000e+00
6.4000000000e+01	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	8.8656688469e+01	1.3709468406e+02	nan	nan	nan	nan	inf	inf	inf	nan	nan	nan	nan	nan	nan	nan	nan	nan	inf	nan	nan	0.0000000000e+00	inf	0.0000000000e+00	0.0000000000e+00
6.5000000000e+01	1.0000000000e+00	1.0000000000e+00	1.0000000000e+00	8.7397560145e+01	1.3583555574e+02	4.0449997050e+02	4.7333231885e+02	-4.5500029503e+01	-1.0166768115e+02	1.0166768115e+02	1.4716771065e+02	7.3583855324e+01	2.3339545727e-01	3.0168861151e-01	3.0168861151e-01	1.7108620274e+01	2.5284489694e+01	2.5284489694e+01	7.1130889654e-01	5.4818081856e-01	5.4818081856e-01	6.8293154240e-02	6.2568750145e-01	8.7266870243e-01	1.0000000000e+00	1.5084430575e+00	0.0000000000e+00	0.0000000000e+00
6.6000000000e+01	1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	8.8656688469e+01	1.3709468406e+02	nan	nan	nan	nan	inf	inf	inf	nan	nan	nan	nan	nan	nan	nan	nan	nan	inf	nan	nan	0.0000000000e+00	inf	0.0000000000e+00	0.0000000000e+00
