wavelength_nm	final_result_transmittance	cst_average_transmittance
4.1835037231e+02	3.4308141470e-01	2.7783929036e-01
4.1877008057e+02	3.7256368995e-01	3.0972268219e-01
4.1918978882e+02	4.0187552571e-01	3.4128666162e-01
4.1960949707e+02	4.2891240120e-01	3.7220278807e-01
4.2002920532e+02	4.5515972376e-01	4.0211371269e-01
4.2044894409e+02	4.8075646162e-01	4.3092197516e-01
4.2086865234e+02	5.0603330135e-01	4.5851991451e-01
4.2128836060e+02	5.2803093195e-01	4.8478785100e-01
4.2170806885e+02	5.5114793777e-01	5.0969123301e-01
4.2212777710e+02	5.7139170170e-01	5.3330645273e-01
4.2254748535e+02	5.9048616886e-01	5.5564894520e-01
4.2296719360e+02	6.0924422741e-01	5.7664414284e-01
4.2338690186e+02	6.2655270100e-01	5.9646281755e-01
4.2380661011e+02	6.4050561190e-01	6.1515317464e-01
4.2422631836e+02	6.5684509277e-01	6.3267495694e-01
4.2464602661e+02	6.7108720541e-01	6.4915517154e-01
4.2506573486e+02	6.8512701988e-01	6.6466999224e-01
4.2548544312e+02	6.9699060917e-01	6.7920568261e-01
4.2590515137e+02	7.0928519964e-01	6.9284396384e-01
4.2632485962e+02	7.2040563822e-01	7.0567163096e-01
4.2674456787e+02	7.3102772236e-01	7.1768368818e-01
4.2716427612e+02	7.4093890190e-01	7.2894040890e-01
4.2758398438e+02	7.5001764297e-01	7.3952378849e-01
4.2800369263e+02	7.5825053453e-01	7.4942772685e-01
4.2842340088e+02	7.6646071672e-01	7.5870828936e-01
4.2884310913e+02	7.7397227287e-01	7.6743388226e-01
4.2926281738e+02	7.8081339598e-01	7.7559213217e-01
4.2968252563e+02	7.8753232956e-01	7.8324529732e-01
4.3010223389e+02	7.9326981306e-01	7.9044393960e-01
4.3052194214e+02	7.9914581776e-01	7.9716728084e-01
4.3094165039e+02	8.0370241404e-01	8.0348873516e-01
4.3136138916e+02	8.0924922228e-01	8.0943452112e-01
4.3178109741e+02	8.1308221817e-01	8.1499190272e-01
4.3220080566e+02	8.1980037689e-01	8.2022955974e-01
4.3262051392e+02	8.2229071856e-01	8.2514896296e-01
4.3304022217e+02	8.2662290335e-01	8.2976733999e-01
4.3345993042e+02	8.3087378740e-01	8.3412726146e-01
4.3387963867e+02	8.3462572098e-01	8.3821680456e-01
4.3429934692e+02	8.3849239349e-01	8.4207708165e-01
4.3471905518e+02	8.4169495106e-01	8.4572195012e-01
4.3513876343e+02	8.4489059448e-01	8.4915087834e-01
4.3555847168e+02	8.4823715687e-01	8.5240147693e-01
4.3597817993e+02	8.5060214996e-01	8.5546673435e-01
4.3639788818e+02	8.5393559933e-01	8.5837156811e-01
4.3681759644e+02	8.5605466366e-01	8.6112799501e-01
4.3723730469e+02	8.5816371441e-01	8.6373554011e-01
4.3765701294e+02	8.6019086838e-01	8.6622101769e-01
4.3807672119e+02	8.6445927620e-01	8.6857706061e-01
4.3849642944e+02	8.6527538300e-01	8.7082522179e-01
4.3891613770e+02	8.6725491285e-01	8.7296872703e-01
4.3933584595e+02	8.6915063858e-01	8.7501328290e-01
4.3975555420e+02	8.7067508698e-01	8.7697334482e-01
4.4017526245e+02	8.7224590778e-01	8.7884331768e-01
4.4059497070e+02	8.7413740158e-01	8.8064228045e-01
4.4101467896e+02	8.7563508749e-01	8.8236553835e-01
4.4143438721e+02	8.7721604109e-01	8.8402546686e-01
4.4185412598e+02	8.7922698259e-01	8.8562360500e-01
4.4227383423e+02	8.8025110960e-01	8.8716475669e-01
4.4269354248e+02	8.8227182627e-01	8.8865549965e-01
4.4311325073e+02	8.8375514746e-01	8.9009592520e-01
4.4353295898e+02	8.8544803858e-01	8.9149577305e-01
4.4395266724e+02	8.8661539555e-01	8.9285223022e-01
4.4437237549e+02	8.8790595531e-01	8.9417620391e-01
4.4479208374e+02	8.8964736462e-01	8.9546598251e-01
4.4521179199e+02	8.9108288288e-01	8.9673048830e-01
4.4563150024e+02	8.9183044434e-01	8.9797095403e-01
4.4605120850e+02	8.9316475391e-01	8.9919432542e-01
4.4647091675e+02	8.9445036650e-01	9.0040420437e-01
4.4689062500e+02	8.9564335346e-01	9.0160639080e-01
4.4731033325e+02	8.9727240801e-01	9.0280528045e-01
4.4773004150e+02	8.9772313833e-01	9.0400517516e-01
4.4814974976e+02	8.9898854494e-01	9.0520869417e-01
4.4856945801e+02	8.9994317293e-01	9.0641654723e-01
4.4898916626e+02	9.0055215359e-01	9.0762661812e-01
4.4940887451e+02	9.0200316906e-01	9.0883343945e-01
4.4982858276e+02	9.0286439657e-01	9.1002955131e-01
4.5024829102e+02	9.0429633856e-01	9.1120411995e-01
4.5066799927e+02	9.0485376120e-01	9.1234842664e-01
4.5108770752e+02	9.0657895803e-01	9.1345208227e-01
4.5150741577e+02	9.0758836269e-01	9.1451055590e-01
4.5192712402e+02	9.0828984976e-01	9.1551947233e-01
4.5234683228e+02	9.0962529182e-01	9.1647960198e-01
4.5276657104e+02	9.1025739908e-01	9.1739309832e-01
4.5318627930e+02	9.1116738319e-01	9.1826301215e-01
4.5360598755e+02	9.1192215681e-01	9.1909507826e-01
4.5402569580e+02	9.1292774677e-01	9.1989200530e-01
4.5444540405e+02	9.1379737854e-01	9.2066039690e-01
4.5486511230e+02	9.1506314278e-01	9.2140131095e-01
4.5528482056e+02	9.1650521755e-01	9.2212106484e-01
4.5570452881e+02	9.1748052835e-01	9.2281904764e-01
4.5612423706e+02	9.1892176867e-01	9.2350099178e-01
4.5654394531e+02	9.2055469751e-01	9.2416516258e-01
4.5696365356e+02	9.2177188396e-01	9.2481621862e-01
4.5738336182e+02	9.2228233814e-01	9.2545304968e-01
4.5780307007e+02	9.2351722717e-01	9.2607821740e-01
4.5822277832e+02	9.2405539751e-01	9.2669163186e-01
4.5864248657e+02	9.2468708754e-01	9.2729427922e-01
4.5906219482e+02	9.2318731546e-01	9.2788699374e-01
4.5948190308e+02	9.2219424248e-01	9.2846948151e-01
4.5990161133e+02	9.2224210501e-01	9.2904346645e-01
4.6032131958e+02	9.2295032740e-01	9.2960753656e-01
4.6074102783e+02	9.2301017046e-01	9.3016381324e-01
4.6116073608e+02	9.2374372482e-01	9.3071130250e-01
4.6158044434e+02	9.2585468292e-01	9.3125103326e-01
4.6200015259e+02	9.2565351725e-01	9.3178308371e-01
4.6241986084e+02	9.2605602741e-01	9.3230728412e-01
4.6283956909e+02	9.2665493488e-01	9.3282480137e-01
4.6325927734e+02	9.2756587267e-01	9.3333434201e-01
4.6367901611e+02	9.2783898115e-01	9.3383757898e-01
4.6409872437e+02	9.2876714468e-01	9.3433378307e-01
4.6451843262e+02	9.2916023731e-01	9.3482337544e-01
4.6493814087e+02	9.2998242378e-01	9.3530688960e-01
4.6535784912e+02	9.3033838272e-01	9.3578350099e-01
4.6577755737e+02	9.3087953329e-01	9.3625445864e-01
4.6619726562e+02	9.3156594038e-01	9.3671909074e-01
4.6661697388e+02	9.3223673105e-01	9.3717785615e-01
4.6703668213e+02	9.3230706453e-01	9.3763116263e-01
4.6745639038e+02	9.3312788010e-01	9.3807821213e-01
4.6787609863e+02	9.3327987194e-01	9.3852012479e-01
4.6829580688e+02	9.3419522047e-01	9.3895639594e-01
4.6871551514e+02	9.3483269215e-01	9.3938719939e-01
4.6913522339e+02	9.3491864204e-01	9.3981311285e-01
4.6955493164e+02	9.3576997519e-01	9.4023325798e-01
4.6997463989e+02	9.3628591299e-01	9.4064858514e-01
4.7039434814e+02	9.3668353558e-01	9.4105897834e-01
4.7081405640e+02	9.3709748983e-01	9.4146403786e-01
4.7123376465e+02	9.3766921759e-01	9.4186455261e-01
4.7165347290e+02	9.3821108341e-01	9.4226005497e-01
4.7207318115e+02	9.3846422434e-01	9.4265070823e-01
4.7249288940e+02	9.3903815746e-01	9.4303698113e-01
4.7291259766e+02	9.3956762552e-01	9.4341820356e-01
4.7333230591e+02	9.3984222412e-01	9.4379496197e-01
4.7375201416e+02	9.4017112255e-01	9.4416747956e-01
4.7417175293e+02	9.4045192003e-01	9.4453497025e-01
4.7459146118e+02	9.4122886658e-01	9.4489826634e-01
4.7501116943e+02	9.4188082218e-01	9.4525733605e-01
4.7543087769e+02	9.4240552187e-01	9.4561158548e-01
4.7585058594e+02	9.4238996506e-01	9.4596178093e-01
4.7627029419e+02	9.4312822819e-01	9.4630778649e-01
4.7669000244e+02	9.4358611107e-01	9.4664914952e-01
4.7710971069e+02	9.4393312931e-01	9.4698654187e-01
4.7752941895e+02	9.4420033693e-01	9.4731981366e-01
4.7794912720e+02	9.4473761320e-01	9.4764854873e-01
4.7836883545e+02	9.4504845142e-01	9.4797338029e-01
4.7878854370e+02	9.4538277388e-01	9.4829419440e-01
4.7920825195e+02	9.4572979212e-01	9.4861051143e-01
4.7962796021e+02	9.4634795189e-01	9.4892297924e-01
4.8004766846e+02	9.4668149948e-01	9.4923156889e-01
4.8046737671e+02	9.4690930843e-01	9.4953564015e-01
4.8088708496e+02	9.4767534733e-01	9.4983590709e-01
4.8130679321e+02	9.4787204266e-01	9.5013238133e-01
4.8172650146e+02	9.4829308987e-01	9.5042444645e-01
4.8214620972e+02	9.4865810871e-01	9.5071265325e-01
4.8256591797e+02	9.4924372435e-01	9.5099710574e-01
4.8298562622e+02	9.4952660799e-01	9.5127738716e-01
4.8340533447e+02	9.4978976250e-01	9.5155366442e-01
4.8382504272e+02	9.5024621487e-01	9.5182622505e-01
4.8424475098e+02	9.5084053278e-01	9.5209489988e-01
4.8466445923e+02	9.5087730885e-01	9.5235937973e-01
4.8508419800e+02	9.5136731863e-01	9.5262020225e-01
4.8550390625e+02	9.5153617859e-01	9.5287734212e-01
4.8592361450e+02	9.5213627815e-01	9.5313028085e-01
4.8634332275e+02	9.5246005058e-01	9.5337947733e-01
4.8676303101e+02	9.5270496607e-01	9.5362505890e-01
4.8718273926e+02	9.5283079147e-01	9.5386684526e-01
4.8760244751e+02	9.5319813490e-01	9.5410460812e-01
4.8802215576e+02	9.5352286100e-01	9.5433881364e-01
4.8844186401e+02	9.5374089479e-01	9.5456948059e-01
4.8886157227e+02	9.5405548811e-01	9.5479621147e-01
4.8928128052e+02	9.5417505503e-01	9.5501925421e-01
4.8970098877e+02	9.5479714870e-01	9.5523882985e-01
4.9012069702e+02	9.5511466265e-01	9.5545496166e-01
