wavelength_nm	final_result_transmittance	cst_average_transmittance
3.7973711347e+02	8.5574924946e-01	8.5412844022e-01
3.8015682291e+02	8.5634510726e-01	8.5449872414e-01
3.8057653235e+02	8.5655826038e-01	8.5466003418e-01
3.8099624179e+02	8.5609764360e-01	8.5463233789e-01
3.8141595123e+02	8.5596406567e-01	8.5443486770e-01
3.8183566067e+02	8.5560238548e-01	8.5408610106e-01
3.8225537011e+02	8.5540491389e-01	8.5360366106e-01
3.8267507956e+02	8.5478526319e-01	8.5300429662e-01
3.8309478900e+02	8.5406589200e-01	8.5230374336e-01
3.8351449844e+02	8.5314094572e-01	8.5151692231e-01
3.8393420788e+02	8.5241424163e-01	8.5065768162e-01
3.8435391732e+02	8.5144357938e-01	8.4973897537e-01
3.8477362676e+02	8.5065363315e-01	8.4877264500e-01
3.8519333620e+02	8.4961454292e-01	8.4776973724e-01
3.8561304564e+02	8.4860375626e-01	8.4674018621e-01
3.8603275508e+02	8.4718839313e-01	8.4569332997e-01
3.8645246453e+02	8.4632484150e-01	8.4463745356e-01
3.8687217397e+02	8.4557314907e-01	8.4357996782e-01
3.8729188341e+02	8.4426185452e-01	8.4252744913e-01
3.8771159285e+02	8.4330895214e-01	8.4148573875e-01
3.8813130229e+02	8.4234974202e-01	8.4045994282e-01
3.8855101173e+02	8.4104977308e-01	8.3945451180e-01
3.8897072117e+02	8.4034713210e-01	8.3847322067e-01
3.8939043061e+02	8.3929589235e-01	8.3751936754e-01
3.8981014006e+02	8.3783308209e-01	8.3659563462e-01
3.9022984950e+02	8.3713181315e-01	8.3570418755e-01
3.9064955894e+02	8.3638460817e-01	8.3484685421e-01
3.9106926838e+02	8.3557118249e-01	8.3402490616e-01
3.9148897782e+02	8.3436651568e-01	8.3323937654e-01
3.9190868726e+02	8.3355058046e-01	8.3249088128e-01
3.9232839670e+02	8.3266628412e-01	8.3177975814e-01
3.9274810614e+02	8.3214110357e-01	8.3110610644e-01
3.9316781559e+02	8.3097285192e-01	8.3046982686e-01
3.9358752503e+02	8.2993638499e-01	8.2987058163e-01
3.9400723447e+02	8.2982748309e-01	8.2930799325e-01
3.9442694391e+02	8.2880442582e-01	8.2878160477e-01
3.9484665335e+02	8.2774662529e-01	8.2829044263e-01
3.9526636279e+02	8.2730304454e-01	8.2783367236e-01
3.9568607223e+02	8.2672422544e-01	8.2741038005e-01
3.9610578167e+02	8.2635312804e-01	8.2701971134e-01
3.9652549111e+02	8.2609950506e-01	8.2666065296e-01
3.9694520056e+02	8.2563447236e-01	8.2633227110e-01
3.9736491000e+02	8.2533781948e-01	8.2603367170e-01
3.9778461944e+02	8.2505101704e-01	8.2576388121e-01
3.9820432888e+02	8.2529888925e-01	8.2552202543e-01
3.9862403832e+02	8.2480476647e-01	8.2530725002e-01
3.9904374776e+02	8.2434214754e-01	8.2511880000e-01
3.9946345720e+02	8.2433348921e-01	8.2495586077e-01
3.9988316664e+02	8.2455890723e-01	8.2481811444e-01
4.0030287609e+02	8.2441580667e-01	8.2470506430e-01
4.0072258553e+02	8.2383049884e-01	8.2461577654e-01
4.0114229497e+02	8.2418488738e-01	8.2454977433e-01
4.0156200441e+02	8.2403487228e-01	8.2450671991e-01
4.0198171385e+02	8.2357168873e-01	8.2448629538e-01
4.0240142329e+02	8.2398974404e-01	8.2448822260e-01
4.0282113273e+02	8.2380986374e-01	8.2451240222e-01
4.0324084217e+02	8.2396739625e-01	8.2455869516e-01
4.0366055162e+02	8.2392519726e-01	8.2462783655e-01
4.0408026106e+02	8.2421189535e-01	8.2471927007e-01
4.0449997050e+02	8.2429957561e-01	8.2483297586e-01
4.0491967994e+02	8.2500677506e-01	8.2496911287e-01
4.0533938938e+02	8.2349599668e-01	8.2512784004e-01
4.0575909882e+02	8.2505565061e-01	8.2530939579e-01
4.0617880826e+02	8.2430369736e-01	8.2551407814e-01
4.0659851770e+02	8.2508475173e-01	8.2574327787e-01
4.0701822714e+02	8.2543754998e-01	8.2599629958e-01
4.0743793659e+02	8.2565397729e-01	8.2627346118e-01
4.0785764603e+02	8.2597102584e-01	8.2657510042e-01
4.0827735547e+02	8.2670803059e-01	8.2690159480e-01
4.0869706491e+02	8.2713110128e-01	8.2725352049e-01
4.0911677435e+02	8.2741495128e-01	8.2763224840e-01
4.0953648379e+02	8.2805231881e-01	8.2803696394e-01
4.0995619323e+02	8.2894656049e-01	8.2846800486e-01
4.1037590267e+02	8.2940237318e-01	8.2892560959e-01
4.1079561212e+02	8.3006690086e-01	8.2941015561e-01
4.1121532156e+02	8.3092353590e-01	8.2992349068e-01
4.1163503100e+02	8.3131395907e-01	8.3046434323e-01
4.1205474044e+02	8.3214382715e-01	8.3103285233e-01
4.1247444988e+02	8.3219385065e-01	8.3162911733e-01
4.1289415932e+02	8.3293752849e-01	8.3225359519e-01
4.1331386876e+02	8.3407520021e-01	8.3290763696e-01
4.1373357820e+02	8.3445286451e-01	8.3358965317e-01
4.1415328765e+02	8.3547478392e-01	8.3429964383e-01
4.1457299709e+02	8.3603942264e-01	8.3503748973e-01
4.1499270653e+02	8.3705943854e-01	8.3580470085e-01
4.1541241597e+02	8.3763242093e-01	8.3660002549e-01
4.1583212541e+02	8.3859259305e-01	8.3742266893e-01
4.1625183485e+02	8.3925993192e-01	8.3827239275e-01
4.1667154429e+02	8.4029991200e-01	8.3915030956e-01
4.1709125373e+02	8.4094435905e-01	8.4005538623e-01
4.1751096317e+02	8.4157516515e-01	8.4098645051e-01
4.1793067262e+02	8.4268219500e-01	8.4194298585e-01
4.1835038206e+02	8.4328111284e-01	8.4292614460e-01
4.1877009150e+02	8.4425349995e-01	8.4393437703e-01
4.1918980094e+02	8.4500335240e-01	8.4496641159e-01
4.1960951038e+02	8.4658016670e-01	8.4602171183e-01
4.2002921982e+02	8.4717788948e-01	8.4710170825e-01
4.2044892926e+02	8.4794083523e-01	8.4820351998e-01
4.2086863870e+02	8.4918411507e-01	8.4932645162e-01
4.2128834815e+02	8.5027202716e-01	8.5047066212e-01
