wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
3.7973712158e+02	9.9013328080e-01	8.5418063402e-01	8.5574924946e-01
3.8015682983e+02	9.9007847951e-01	8.5524159670e-01	8.5634511709e-01
3.8057653809e+02	9.9002322194e-01	8.5502392054e-01	8.5655826330e-01
3.8099624634e+02	9.8996750301e-01	8.5481905937e-01	8.5609763861e-01
3.8141595459e+02	9.8991131759e-01	8.5514968634e-01	8.5596406460e-01
3.8183566284e+02	9.8985466048e-01	8.5428178310e-01	8.5560238361e-01
3.8225537109e+02	9.8979752641e-01	8.5375177860e-01	8.5540491343e-01
3.8267507935e+02	9.8973991002e-01	8.5308027267e-01	8.5478526354e-01
3.8309478760e+02	9.8968180589e-01	8.5207700729e-01	8.5406589508e-01
3.8351449585e+02	9.8962320852e-01	8.5137099028e-01	8.5314095020e-01
3.8393420410e+02	9.8956411233e-01	8.5049957037e-01	8.5241425037e-01
3.8435391235e+02	9.8950451166e-01	8.4900540113e-01	8.5144358873e-01
3.8477362061e+02	9.8944440077e-01	8.4836030006e-01	8.5065364838e-01
3.8519332886e+02	9.8938377384e-01	8.4637087584e-01	8.4961456060e-01
3.8561303711e+02	9.8932262498e-01	8.4643244743e-01	8.4860378504e-01
3.8603274536e+02	9.8926094820e-01	8.4452551603e-01	8.4718841314e-01
3.8645245361e+02	9.8919873741e-01	8.4312319756e-01	8.4632486105e-01
3.8687216187e+02	9.8913598648e-01	8.4243237972e-01	8.4557318687e-01
3.8729187012e+02	9.8907268914e-01	8.4075802565e-01	8.4426188469e-01
3.8771157837e+02	9.8900883905e-01	8.3974379301e-01	8.4330898523e-01
3.8813131714e+02	9.8894442510e-01	8.3952265978e-01	8.4234970808e-01
3.8855102539e+02	9.8887945011e-01	8.3745920658e-01	8.4104973078e-01
3.8897073364e+02	9.8881390280e-01	8.3656495810e-01	8.4034711123e-01
3.8939044189e+02	9.8874777647e-01	8.3560109138e-01	8.3929586411e-01
3.8981015015e+02	9.8868106429e-01	8.3466976881e-01	8.3783304691e-01
3.9022985840e+02	9.8861375935e-01	8.3363276720e-01	8.3713179827e-01
3.9064956665e+02	9.8854585464e-01	8.3277636766e-01	8.3638459444e-01
3.9106927490e+02	9.8847734304e-01	8.3185476065e-01	8.3557116985e-01
3.9148898315e+02	9.8840821732e-01	8.3012068272e-01	8.3436650038e-01
3.9190869141e+02	9.8833847016e-01	8.2908326387e-01	8.3355057240e-01
3.9232839966e+02	9.8826809410e-01	8.2956176996e-01	8.3266627789e-01
3.9274810791e+02	9.8819708160e-01	8.2835149765e-01	8.3214110136e-01
3.9316781616e+02	9.8812542498e-01	8.2737034559e-01	8.3097285032e-01
3.9358752441e+02	9.8805311648e-01	8.2686883211e-01	8.2993638515e-01
3.9400723267e+02	9.8798014818e-01	8.2612615824e-01	8.2982748747e-01
3.9442694092e+02	9.8790651208e-01	8.2532370090e-01	8.2880443335e-01
3.9484664917e+02	9.8783220003e-01	8.2555681467e-01	8.2774662971e-01
3.9526635742e+02	9.8775720377e-01	8.2502561808e-01	8.2730305195e-01
3.9568606567e+02	9.8768151490e-01	8.2372301817e-01	8.2672423124e-01
3.9610577393e+02	9.8760512491e-01	8.2381254435e-01	8.2635313272e-01
3.9652548218e+02	9.8752802516e-01	8.2294946909e-01	8.2609951496e-01
3.9694519043e+02	9.8745020685e-01	8.2227873802e-01	8.2563447952e-01
3.9736489868e+02	9.8737166107e-01	8.2212245464e-01	8.2533782721e-01
3.9778460693e+02	9.8729237876e-01	8.2191932201e-01	8.2505100965e-01
3.9820431519e+02	9.8721235074e-01	8.2104617357e-01	8.2529890537e-01
3.9862402344e+02	9.8713156764e-01	8.2135957479e-01	8.2480478287e-01
3.9904376221e+02	9.8705001404e-01	8.2064902782e-01	8.2434213161e-01
3.9946347046e+02	9.8696769216e-01	8.1945407391e-01	8.2433348894e-01
3.9988317871e+02	9.8688458630e-01	8.1962573528e-01	8.2455891371e-01
4.0030288696e+02	9.8680068654e-01	8.1969869137e-01	8.2441580296e-01
4.0072259521e+02	9.8671598275e-01	8.1908196211e-01	8.2383048534e-01
4.0114230347e+02	9.8663046470e-01	8.1821662188e-01	8.2418489456e-01
4.0156201172e+02	9.8654412196e-01	8.1829744577e-01	8.2403486967e-01
4.0198171997e+02	9.8645694393e-01	8.1895864010e-01	8.2357168198e-01
4.0240142822e+02	9.8636891987e-01	8.1823170185e-01	8.2398974895e-01
4.0282113647e+02	9.8628003883e-01	8.1816214323e-01	8.2380986214e-01
4.0324084473e+02	9.8619028972e-01	8.1854718924e-01	8.2396739721e-01
4.0366055298e+02	9.8609966124e-01	8.2105594873e-01	8.2392519712e-01
4.0408026123e+02	9.8600814193e-01	8.1759554148e-01	8.2421189547e-01
4.0449996948e+02	9.8591572012e-01	8.2199060917e-01	8.2429957390e-01
4.0491967773e+02	9.8582238398e-01	8.2396602631e-01	8.2500678301e-01
4.0533938599e+02	9.8572812145e-01	8.2357311249e-01	8.2349598408e-01
4.0575909424e+02	9.8563292030e-01	8.2083237171e-01	8.2505565882e-01
4.0617880249e+02	9.8553676809e-01	8.2304418087e-01	8.2430368662e-01
4.0659851074e+02	9.8543965218e-01	8.2487487793e-01	8.2508474588e-01
4.0701821899e+02	9.8534155970e-01	8.2362681627e-01	8.2543754578e-01
4.0743792725e+02	9.8524247758e-01	8.2669496536e-01	8.2565397024e-01
4.0785763550e+02	9.8514239254e-01	8.2870417833e-01	8.2597100735e-01
4.0827734375e+02	9.8504129107e-01	8.2722634077e-01	8.2670801878e-01
4.0869705200e+02	9.8493915942e-01	8.2710468769e-01	8.2713109255e-01
4.0911676025e+02	9.8483598362e-01	8.2902002335e-01	8.2741492987e-01
4.0953649902e+02	9.8473174186e-01	8.3061850071e-01	8.2805234194e-01
4.0995620728e+02	9.8462643484e-01	8.3129751682e-01	8.2894659042e-01
4.1037591553e+02	9.8452004033e-01	8.3303242922e-01	8.2940238714e-01
4.1079562378e+02	9.8441254337e-01	8.3092713356e-01	8.3006691933e-01
4.1121533203e+02	9.8430392878e-01	8.3354359865e-01	8.3092355728e-01
4.1163504028e+02	9.8419418109e-01	8.3654087782e-01	8.3131396770e-01
4.1205474854e+02	9.8408328457e-01	8.3497548103e-01	8.3214384317e-01
4.1247445679e+02	9.8397122321e-01	8.3520919085e-01	8.3219385147e-01
