Epoch 0 | Train Loss: 0.035182 | Val Loss: 0.025068
Epoch 1 | Train Loss: 0.028068 | Val Loss: 0.020691
Epoch 2 | Train Loss: 0.019295 | Val Loss: 0.015446
Epoch 3 | Train Loss: 0.015493 | Val Loss: 0.013404
Epoch 4 | Train Loss: 0.013061 | Val Loss: 0.012627
Epoch 5 | Train Loss: 0.013620 | Val Loss: 0.013231
Epoch 6 | Train Loss: 0.014131 | Val Loss: 0.013112
Epoch 7 | Train Loss: 0.013401 | Val Loss: 0.013225
Epoch 8 | Train Loss: 0.015121 | Val Loss: 0.012043
Epoch 9 | Train Loss: 0.014030 | Val Loss: 0.014047
Epoch 10 | Train Loss: 0.017706 | Val Loss: 0.019458
Epoch 11 | Train Loss: 0.017340 | Val Loss: 0.016771
Epoch 12 | Train Loss: 0.014665 | Val Loss: 0.010371
Epoch 13 | Train Loss: 0.013607 | Val Loss: 0.014932
Epoch 14 | Train Loss: 0.017326 | Val Loss: 0.016559
Epoch 15 | Train Loss: 0.014642 | Val Loss: 0.014668
Epoch 16 | Train Loss: 0.014298 | Val Loss: 0.010277
Epoch 17 | Train Loss: 0.009957 | Val Loss: 0.010689
Epoch 18 | Train Loss: 0.006955 | Val Loss: 0.004898
Epoch 19 | Train Loss: 0.007173 | Val Loss: 0.008231
Epoch 20 | Train Loss: 0.009094 | Val Loss: 0.008088
Epoch 21 | Train Loss: 0.007782 | Val Loss: 0.008625
Epoch 22 | Train Loss: 0.007251 | Val Loss: 0.005112
Epoch 23 | Train Loss: 0.006915 | Val Loss: 0.006368
Epoch 24 | Train Loss: 0.005882 | Val Loss: 0.004979
Epoch 25 | Train Loss: 0.005865 | Val Loss: 0.004699
Epoch 26 | Train Loss: 0.006413 | Val Loss: 0.006423
Epoch 27 | Train Loss: 0.006746 | Val Loss: 0.005711
Epoch 28 | Train Loss: 0.008155 | Val Loss: 0.012906
Epoch 29 | Train Loss: 0.008796 | Val Loss: 0.006943
Epoch 30 | Train Loss: 0.005488 | Val Loss: 0.004961
Epoch 31 | Train Loss: 0.004647 | Val Loss: 0.004685
Epoch 32 | Train Loss: 0.004125 | Val Loss: 0.003747
Epoch 33 | Train Loss: 0.003757 | Val Loss: 0.004282
Epoch 34 | Train Loss: 0.004919 | Val Loss: 0.004185
Epoch 35 | Train Loss: 0.004795 | Val Loss: 0.005321
Epoch 36 | Train Loss: 0.004988 | Val Loss: 0.003870
Epoch 37 | Train Loss: 0.007419 | Val Loss: 0.007431
Epoch 38 | Train Loss: 0.005912 | Val Loss: 0.005478
Epoch 39 | Train Loss: 0.005933 | Val Loss: 0.005945
Epoch 40 | Train Loss: 0.005379 | Val Loss: 0.006707
Epoch 41 | Train Loss: 0.004891 | Val Loss: 0.004761
Epoch 42 | Train Loss: 0.004967 | Val Loss: 0.006997
Epoch 43 | Train Loss: 0.006773 | Val Loss: 0.004676
