candidate_index	condition_order_code	valid	candidate_spectrum_valid	candidate_spectrum_maximum_absolute_error_nm	candidate_spectrum_summed_absolute_error_nm	peak1_wavelength_nm	peak2_wavelength_nm	peak1_signed_error_nm	peak2_signed_error_nm	maximum_absolute_error_nm	summed_absolute_error_nm	mean_absolute_error_nm	peak1_transmittance	peak2_transmittance	worst_valley_transmittance	peak1_fwhm_nm	peak2_fwhm_nm	widest_fwhm_nm	peak1_prominence	peak2_prominence	minimum_prominence	valley_transmittance_imbalance	peak1_fwhm_to_ideal_ratio	peak2_fwhm_to_ideal_ratio	shape_gate_passed	shape_minimax_score	inside_position_window	selected
0.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2518348511e+00	2.2257634032e+00	4.1625183485e+02	5.6944578089e+02	1.2518348511e+00	-5.5421911093e-01	1.2518348511e+00	1.8060539620e+00	9.0302698100e-01	3.1081330776e-01	2.2125628591e-01	3.1081330776e-01	1.9087802920e+01	1.9423397264e+01	1.9423397264e+01	5.9635686874e-01	5.9344288707e-01	5.9344288707e-01	8.9557021856e-02	7.4032184174e-01	6.8880494436e-01	1.0000000000e+00	1.5540665388e+00	1.0000000000e+00	0.0000000000e+00
1.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.8133474345e+00	3.0651822856e+00	4.1625183485e+02	5.6860636201e+02	1.2518348511e+00	-1.3936379933e+00	1.3936379933e+00	2.6454728444e+00	1.3227364222e+00	4.2154240608e-01	4.1012057662e-01	4.2154240608e-01	1.5902283541e+01	1.5155686818e+01	1.5902283541e+01	4.8501473665e-01	4.2769280076e-01	4.2769280076e-01	1.1421829462e-02	6.1677123804e-01	5.3746066528e-01	0.0000000000e+00	2.1077120304e+00	1.0000000000e+00	0.0000000000e+00
2.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2518348511e+00	1.3863445208e+00	4.1625183485e+02	5.6944578089e+02	1.2518348511e+00	-5.5421911093e-01	1.2518348511e+00	1.8060539620e+00	9.0302698100e-01	1.6379457712e-01	1.0983785987e-01	1.6379457712e-01	1.8063345936e+01	2.2316072392e+01	2.2316072392e+01	7.6209986210e-01	7.1014663577e-01	7.1014663577e-01	5.3956717253e-02	7.0058820217e-01	7.9138684101e-01	1.0000000000e+00	8.5546227951e-01	1.0000000000e+00	0.0000000000e+00
3.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2518348511e+00	2.2257634032e+00	4.1625183485e+02	5.6860636201e+02	1.2518348511e+00	-1.3936379933e+00	1.3936379933e+00	2.6454728444e+00	1.3227364222e+00	3.3450633287e-01	3.1863358617e-01	3.3450633287e-01	1.5349523278e+01	1.6226274421e+01	1.6226274421e+01	5.8309340477e-01	5.2010384202e-01	5.2010384202e-01	1.5872746706e-02	5.9533239056e-01	5.7542652803e-01	1.0000000000e+00	1.6725316644e+00	1.0000000000e+00	0.0000000000e+00
4.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2518348511e+00	2.3764535049e+00	4.1667154429e+02	5.7196403754e+02	1.6715442923e+00	1.9640375363e+00	1.9640375363e+00	3.6355818285e+00	1.8177909143e+00	4.3120261282e-02	1.6789229587e-02	4.3120261282e-02	2.5953308637e+01	3.6525238635e+01	3.6525238635e+01	8.8899523392e-01	7.7397534065e-01	7.7397534065e-01	2.6331031695e-02	1.0066009865e+00	1.2952813879e+00	1.0000000000e+00	8.4366110833e-01	1.0000000000e+00	0.0000000000e+00
5.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2518348511e+00	1.3863445208e+00	4.1625183485e+02	5.6944578089e+02	1.2518348511e+00	-5.5421911093e-01	1.2518348511e+00	1.8060539620e+00	9.0302698100e-01	1.7613822222e-01	1.2858079374e-01	1.7613822222e-01	1.7471418599e+01	2.1448003678e+01	2.1448003678e+01	7.4961209297e-01	6.9526721537e-01	6.9526721537e-01	4.7557428479e-02	6.7763025684e-01	7.6060283272e-01	1.0000000000e+00	9.2105640904e-01	1.0000000000e+00	0.0000000000e+00
6.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	4.4822941835e+00	8.2523856817e+00	4.1499270653e+02	5.7280345642e+02	-7.2934725332e-03	2.8034564187e+00	2.8034564187e+00	2.8107498912e+00	1.4053749456e+00	5.8678585291e-01	2.8695547953e-03	5.8678585291e-01	4.2541023796e+01	8.1333795434e+01	8.1333795434e+01	3.0726742744e-01	9.8358230945e-01	3.0726742744e-01	5.8391629811e-01	1.6499567403e+00	2.8843111057e+00	0.0000000000e+00	5.8391629811e+00	1.0000000000e+00	0.0000000000e+00
7.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2518348511e+00	1.3863445208e+00	4.1667154429e+02	5.7070490921e+02	1.6715442923e+00	7.0490921267e-01	1.6715442923e+00	2.3764535049e+00	1.1882267525e+00	6.5350055695e-02	3.0121976510e-02	6.5350055695e-02	2.2766839201e+01	3.0996343062e+01	3.0996343062e+01	8.6745554209e-01	7.7440411411e-01	7.7440411411e-01	3.5228079185e-02	8.8301353479e-01	1.0992121547e+00	1.0000000000e+00	6.4565772687e-01	1.0000000000e+00	0.0000000000e+00
8.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2518348511e+00	2.2257634032e+00	4.1625183485e+02	5.6902607145e+02	1.2518348511e+00	-9.7392855213e-01	1.2518348511e+00	2.2257634032e+00	1.1128817016e+00	3.0410325527e-01	2.8019312024e-01	3.0410325527e-01	1.5534174948e+01	1.6922351290e+01	1.6922351290e+01	6.1390107870e-01	5.5479511619e-01	5.5479511619e-01	2.3910135031e-02	6.0249411918e-01	6.0011125141e-01	1.0000000000e+00	1.5205162764e+00	1.0000000000e+00	0.0000000000e+00
9.0000000000e+00	0.0000000000e+00	1.0000000000e+00	1.0000000000e+00	1.2518348511e+00	1.3863445208e+00	4.1625183485e+02	5.6986549033e+02	1.2518348511e+00	-1.3450966973e-01	1.2518348511e+00	1.3863445208e+00	6.9317226040e-01	1.0522896051e-01	5.4145369679e-02	1.0522896051e-01	2.0223814679e+01	2.6491834733e+01	2.6491834733e+01	8.2524544001e-01	7.5768044218e-01	7.5768044218e-01	5.1083590835e-02	7.8438214146e-01	9.3947039755e-01	1.0000000000e+00	6.5990881137e-01	1.0000000000e+00	1.0000000000e+00
