wavelength_nm	ideal_target_transmittance	tandem_response_transmittance
3.7973711347e+02	9.4176042080e-01	8.2695937157e-01
3.8015682291e+02	9.4116467237e-01	8.2541984320e-01
3.8057653235e+02	9.4055950642e-01	8.2429224253e-01
3.8099624179e+02	9.3994480371e-01	8.2261443138e-01
3.8141595123e+02	9.3932020664e-01	8.2054364681e-01
3.8183566067e+02	9.3868565559e-01	8.1959712505e-01
3.8225537011e+02	9.3804079294e-01	8.1858903170e-01
3.8267507956e+02	9.3738549948e-01	8.1679046154e-01
3.8309478900e+02	9.3671953678e-01	8.1577992439e-01
3.8351449844e+02	9.3604266644e-01	8.1461834908e-01
3.8393420788e+02	9.3535459042e-01	8.1336796284e-01
3.8435391732e+02	9.3465507030e-01	8.1293159723e-01
3.8477362676e+02	9.3394392729e-01	8.1232333183e-01
3.8519333620e+02	9.3322080374e-01	8.1084525585e-01
3.8561304564e+02	9.3248552084e-01	8.1022298336e-01
3.8603275508e+02	9.3173772097e-01	8.0915421247e-01
3.8645246453e+02	9.3097710609e-01	8.0844271183e-01
3.8687217397e+02	9.3020343781e-01	8.0857145786e-01
3.8729188341e+02	9.2941641808e-01	8.0824410915e-01
3.8771159285e+02	9.2861574888e-01	8.0828630924e-01
3.8813130229e+02	9.2780101299e-01	8.0851638317e-01
3.8855101173e+02	9.2697197199e-01	8.0844461918e-01
3.8897072117e+02	9.2612820864e-01	8.0935502052e-01
3.8939043061e+02	9.2526948452e-01	8.0959725380e-01
3.8981014006e+02	9.2439532280e-01	8.0995041132e-01
3.9022984950e+02	9.2350542545e-01	8.1067615747e-01
3.9064955894e+02	9.2259937525e-01	8.1158113480e-01
3.9106926838e+02	9.2167681456e-01	8.1284344196e-01
3.9148897782e+02	9.2073726654e-01	8.1354475021e-01
3.9190868726e+02	9.1978037357e-01	8.1492537260e-01
3.9232839670e+02	9.1880565882e-01	8.1634408236e-01
3.9274810614e+02	9.1781270504e-01	8.1796330214e-01
3.9316781559e+02	9.1680109501e-01	8.1954735518e-01
3.9358752503e+02	9.1577029228e-01	8.2141655684e-01
3.9400723447e+02	9.1471982002e-01	8.2325655222e-01
3.9442694391e+02	9.1364914179e-01	8.2541882992e-01
3.9484665335e+02	9.1255784035e-01	8.2747101784e-01
3.9526636279e+02	9.1144531965e-01	8.2969194651e-01
3.9568607223e+02	9.1031098366e-01	8.3197677135e-01
3.9610578167e+02	9.0915429592e-01	8.3470147848e-01
3.9652549111e+02	9.0797466040e-01	8.3661347628e-01
3.9694520056e+02	9.0677154064e-01	8.3927828074e-01
3.9736491000e+02	9.0554416180e-01	8.4190362692e-01
3.9778461944e+02	9.0429204702e-01	8.4471714497e-01
3.9820432888e+02	9.0301436186e-01	8.4670490026e-01
3.9862403832e+02	9.0171051025e-01	8.4949350357e-01
3.9904374776e+02	9.0037971735e-01	8.5152328014e-01
3.9946345720e+02	8.9902126789e-01	8.5369271040e-01
3.9988316664e+02	8.9763444662e-01	8.5631805658e-01
4.0030287609e+02	8.9621835947e-01	8.5867720842e-01
4.0072258553e+02	8.9477229118e-01	8.6150997877e-01
4.0114229497e+02	8.9329528809e-01	8.6437487602e-01
4.0156200441e+02	8.9178651571e-01	8.6685061455e-01
4.0198171385e+02	8.9024507999e-01	8.6906200647e-01
4.0240142329e+02	8.8867008686e-01	8.7123620510e-01
4.0282113273e+02	8.8706046343e-01	8.7279582024e-01
4.0324084217e+02	8.8541519642e-01	8.7458372116e-01
4.0366055162e+02	8.8373339176e-01	8.7618315220e-01
4.0408026106e+02	8.8201379776e-01	8.7631577253e-01
4.0449997050e+02	8.8025534153e-01	8.7847399712e-01
4.0491967994e+02	8.7845695019e-01	8.8064807653e-01
4.0533938938e+02	8.7661731243e-01	8.8144594431e-01
4.0575909882e+02	8.7473523617e-01	8.8108706474e-01
4.0617880826e+02	8.7280941010e-01	8.8244825602e-01
4.0659851770e+02	8.7083846331e-01	8.8332831860e-01
4.0701822714e+02	8.6882108450e-01	8.8348585367e-01
4.0743793659e+02	8.6675578356e-01	8.8355833292e-01
4.0785764603e+02	8.6464107037e-01	8.8387942314e-01
4.0827735547e+02	8.6247533560e-01	8.8335317373e-01
4.0869706491e+02	8.6025708914e-01	8.8385885954e-01
4.0911677435e+02	8.5798460245e-01	8.8322770596e-01
4.0953648379e+02	8.5565614700e-01	8.8239544630e-01
4.0995619323e+02	8.5326987505e-01	8.8175535202e-01
4.1037590267e+02	8.5082393885e-01	8.8133454323e-01
4.1079561212e+02	8.4831649065e-01	8.7947303057e-01
4.1121532156e+02	8.4574538469e-01	8.7772893906e-01
4.1163503100e+02	8.4310859442e-01	8.7553155422e-01
4.1205474044e+02	8.4040397406e-01	8.7293893099e-01
4.1247444988e+02	8.3762919903e-01	8.7025886774e-01
4.1289415932e+02	8.3478194475e-01	8.6780363321e-01
4.1331386876e+02	8.3185976744e-01	8.6471164227e-01
4.1373357820e+02	8.2886016369e-01	8.6078673601e-01
4.1415328765e+02	8.2578051090e-01	8.5712063313e-01
4.1457299709e+02	8.2261800766e-01	8.5358273983e-01
4.1499270653e+02	8.1936985254e-01	8.4927612543e-01
