target_peak1_nm	500.0000000000
target_peak2_nm	600.0000000000
primary_comparison	final_network_vs_nearest_cstdata_10496_simulation
final_network_source_file	/home/yuxiao/Yuxiao Li/tandem/2peak/500_600/cvae/cvae_data.txt
cst_reference_source_file	/home/yuxiao/Yuxiao Li/tandem/2peak/data/cstdata_10496/data/02520.b
cst_reference_parameter_file	/home/yuxiao/Yuxiao Li/tandem/2peak/data/cstdata_10496/data/02520.a
nearest_simulation_case_id	02520
simulation_selection_metric	minimum_full_spectrum_mse
simulation_quality_filter	exclude_more_than_5_samples_clipped_to_unity
nearest_simulation_spectrum_mse	5.2587341480e-05
nearest_simulation_spectrum_rmse	7.2517130032e-03
nearest_structure_euclidean_distance	3.9085577768e-02
structure_source_file	/home/yuxiao/Yuxiao Li/tandem/2peak/500_600/cvae/cvae_structure.txt
predicted_R	3.3666684628
nearest_simulation_R	3.4000000000
predicted_n_host1	2.8188617229
nearest_simulation_n_host1	2.8000000000
predicted_n_host2	2.1921944618
nearest_simulation_n_host2	2.2000000000
final_network_two_resonances_detected	1
final_network_significant_minima_count	3
final_network_peak1_wavelength_nm	504.3908175000
final_network_peak1_transmittance	3.0589494109e-01
final_network_peak1_fwhm_nm	16.2844648599
final_network_peak1_prominence	6.1524370313e-01
final_network_peak1_quality_factor	30.9737422654
final_network_peak1_contrast_quality_fom	21.4990311998
final_network_peak2_wavelength_nm	603.0225361900
final_network_peak2_transmittance	2.8992095590e-01
final_network_peak2_fwhm_nm	20.5301381438
final_network_peak2_prominence	6.6981825232e-01
final_network_peak2_quality_factor	29.3725513177
final_network_peak2_contrast_quality_fom	20.8568331625
final_network_significant_minimum1_wavelength_nm	416.2518348500
final_network_significant_minimum1_transmittance	6.5114283562e-01
final_network_significant_minimum2_wavelength_nm	504.3908175000
final_network_significant_minimum2_transmittance	3.0589494109e-01
final_network_significant_minimum3_wavelength_nm	603.0225361900
final_network_significant_minimum3_transmittance	2.8992095590e-01
cst_reference_two_resonances_detected	1
cst_reference_significant_minima_count	3
cst_reference_peak1_wavelength_nm	504.3908175000
cst_reference_peak1_transmittance	2.8752205202e-01
cst_reference_peak1_fwhm_nm	16.1814176313
cst_reference_peak1_prominence	6.3635076646e-01
cst_reference_peak1_quality_factor	31.1709906383
cst_reference_peak1_contrast_quality_fom	22.2086434466
cst_reference_peak2_wavelength_nm	603.4422456300
cst_reference_peak2_transmittance	2.7611335042e-01
cst_reference_peak2_fwhm_nm	20.2787887414
cst_reference_peak2_prominence	6.9043334808e-01
cst_reference_peak2_quality_factor	29.7573121021
cst_reference_peak2_contrast_quality_fom	21.5409209582
cst_reference_significant_minimum1_wavelength_nm	416.6715442900
cst_reference_significant_minimum1_transmittance	6.4631648300e-01
cst_reference_significant_minimum2_wavelength_nm	504.3908175000
cst_reference_significant_minimum2_transmittance	2.8752205202e-01
cst_reference_significant_minimum3_wavelength_nm	603.4422456300
cst_reference_significant_minimum3_transmittance	2.7611335042e-01
cst_reference_minus_final_peak1_wavelength_nm	0.0000000000
cst_reference_vs_final_peak1_absolute_wavelength_difference_nm	0.0000000000
cst_reference_minus_final_peak2_wavelength_nm	0.4197094400
cst_reference_vs_final_peak2_absolute_wavelength_difference_nm	0.4197094400
primary_cst_reference_vs_final_mse	5.2587341480e-05
primary_cst_reference_vs_final_rmse	7.2517130032e-03
primary_cst_reference_vs_final_mae	4.8322078063e-03
primary_cst_reference_vs_final_r_squared	9.9794017613e-01
primary_cst_reference_vs_final_correlation	9.9921679435e-01
