wavelength_nm	final_network_transmittance	nearest_simulation_transmittance
3.7973711347e+02	9.8749196529e-01	9.8966973697e-01
3.8015682291e+02	9.8748511076e-01	9.9018728016e-01
3.8057653235e+02	9.8718589544e-01	9.9023509923e-01
3.8099624179e+02	9.8658156395e-01	9.8981705763e-01
3.8141595123e+02	9.8566412926e-01	9.8893926652e-01
3.8183566067e+02	9.8442590237e-01	9.8760997153e-01
3.8225537011e+02	9.8285919428e-01	9.8583942278e-01
3.8267507956e+02	9.8094898462e-01	9.8363973049e-01
3.8309478900e+02	9.7866469622e-01	9.8102470899e-01
3.8351449844e+02	9.7597551346e-01	9.7800971084e-01
3.8393420788e+02	9.7291010618e-01	9.7461145477e-01
3.8435391732e+02	9.6945971251e-01	9.7084784917e-01
3.8477362676e+02	9.6562874317e-01	9.6673781398e-01
3.8519333620e+02	9.6141332388e-01	9.6230110333e-01
3.8561304564e+02	9.5684713125e-01	9.5755644899e-01
3.8603275508e+02	9.5195800066e-01	9.5252572559e-01
3.8645246453e+02	9.4677025080e-01	9.4723151796e-01
3.8687217397e+02	9.4130814075e-01	9.4169517015e-01
3.8729188341e+02	9.3561053276e-01	9.3593804765e-01
3.8771159285e+02	9.2970597744e-01	9.2998140469e-01
3.8813130229e+02	9.2362916470e-01	9.2384626190e-01
3.8855101173e+02	9.1740095615e-01	9.1755329578e-01
3.8897072117e+02	9.1105347872e-01	9.1112273996e-01
3.8939043061e+02	9.0460240841e-01	9.0457429837e-01
3.8981014006e+02	8.9806634188e-01	8.9792706997e-01
3.9022984950e+02	8.9144349098e-01	8.9119948585e-01
3.9064955894e+02	8.8477003574e-01	8.8440925570e-01
3.9106926838e+02	8.7805986404e-01	8.7757332645e-01
3.9148897782e+02	8.7133085728e-01	8.7070784998e-01
3.9190868726e+02	8.6457848549e-01	8.6382816024e-01
3.9232839670e+02	8.5778158903e-01	8.5694875884e-01
3.9274810614e+02	8.5118085146e-01	8.5008330833e-01
3.9316781559e+02	8.4452980757e-01	8.4324463226e-01
3.9358752503e+02	8.3793306351e-01	8.3644472234e-01
3.9400723447e+02	8.3138310909e-01	8.2969496306e-01
3.9442694391e+02	8.2482457161e-01	8.2300619053e-01
3.9484665335e+02	8.1840598583e-01	8.1638761947e-01
3.9526636279e+02	8.1248086691e-01	8.0984807719e-01
3.9568607223e+02	8.0596542358e-01	8.0339565454e-01
3.9610578167e+02	7.9980933666e-01	7.9703773511e-01
3.9652549111e+02	7.9366552830e-01	7.9078102610e-01
3.9694520056e+02	7.8756999969e-01	7.8463159022e-01
3.9736491000e+02	7.8157430887e-01	7.7859487909e-01
3.9778461944e+02	7.7577292919e-01	7.7267576558e-01
3.9820432888e+02	7.6996070147e-01	7.6687857763e-01
3.9862403832e+02	7.6416951418e-01	7.6120713118e-01
3.9904374776e+02	7.5858223438e-01	7.5566476267e-01
