wavelength_nm	final_result_transmittance	cst_average_transmittance
3.7973712158e+02	8.5474014282e-01	8.8061072766e-01
3.8015682983e+02	8.5596483946e-01	8.7991153221e-01
3.8057653809e+02	8.5612291098e-01	8.7908521464e-01
3.8099624634e+02	8.5697066784e-01	8.7814213509e-01
3.8141595459e+02	8.5782396793e-01	8.7709258801e-01
3.8183566284e+02	8.5802656412e-01	8.7594673764e-01
3.8225537109e+02	8.5896575451e-01	8.7471455822e-01
3.8267507935e+02	8.5948121548e-01	8.7340577932e-01
3.8309478760e+02	8.5939675570e-01	8.7202983711e-01
3.8351449585e+02	8.6015886068e-01	8.7059583175e-01
3.8393420410e+02	8.6086237431e-01	8.6911249043e-01
3.8435391235e+02	8.6082476377e-01	8.6758813710e-01
3.8477362061e+02	8.6080592871e-01	8.6603066807e-01
3.8519332886e+02	8.6069679260e-01	8.6444753354e-01
3.8561303711e+02	8.6082172394e-01	8.6284565287e-01
3.8603274536e+02	8.6102187634e-01	8.6123166883e-01
3.8645245361e+02	8.6074727774e-01	8.5961168969e-01
3.8687216187e+02	8.6032009125e-01	8.5799127165e-01
3.8729187012e+02	8.5996174812e-01	8.5637550899e-01
3.8771157837e+02	8.5976618528e-01	8.5476904201e-01
3.8813131714e+02	8.5918128490e-01	8.5317595288e-01
3.8855102539e+02	8.5811072588e-01	8.5160024109e-01
3.8897073364e+02	8.5803848505e-01	8.5004514356e-01
3.8939044189e+02	8.5650080442e-01	8.4851361572e-01
3.8981015015e+02	8.5603296757e-01	8.4700823314e-01
3.9022985840e+02	8.5542619228e-01	8.4553121039e-01
3.9064956665e+02	8.5380119085e-01	8.4408442024e-01
3.9106927490e+02	8.5248583555e-01	8.4266941351e-01
3.9148898315e+02	8.5102814436e-01	8.4128743883e-01
3.9190869141e+02	8.4987223148e-01	8.3993946247e-01
3.9232839966e+02	8.4841823578e-01	8.3862618801e-01
3.9274810791e+02	8.4745150805e-01	8.3734807547e-01
3.9316781616e+02	8.4546661377e-01	8.3610536022e-01
3.9358752441e+02	8.4372383356e-01	8.3489807139e-01
3.9400723267e+02	8.4188926220e-01	8.3372617294e-01
3.9442694092e+02	8.4020262957e-01	8.3258950759e-01
3.9484664917e+02	8.3838629723e-01	8.3148731716e-01
3.9526635742e+02	8.3647561073e-01	8.3041897001e-01
3.9568606567e+02	8.3493554592e-01	8.2938371066e-01
3.9610577393e+02	8.3321416378e-01	8.2838067450e-01
3.9652548218e+02	8.3041942120e-01	8.2740890187e-01
3.9694519043e+02	8.2819539309e-01	8.2646735129e-01
3.9736489868e+02	8.2642394304e-01	8.2555491220e-01
3.9778460693e+02	8.2435083389e-01	8.2467041707e-01
3.9820431519e+02	8.2240200043e-01	8.2381265269e-01
3.9862402344e+02	8.1976962090e-01	8.2298037109e-01
3.9904376221e+02	8.1733721495e-01	8.2217224160e-01
3.9946347046e+02	8.1455314159e-01	8.2138709392e-01
3.9988317871e+02	8.1270909309e-01	8.2062379110e-01
4.0030288696e+02	8.1036001444e-01	8.1988114210e-01
4.0072259521e+02	8.0839979649e-01	8.1915749446e-01
4.0114230347e+02	8.0634713173e-01	8.1845158063e-01
4.0156201172e+02	8.0471313000e-01	8.1776215801e-01
4.0198171997e+02	8.0231976509e-01	8.1708801497e-01
4.0240142822e+02	8.0042344332e-01	8.1642797644e-01
4.0282113647e+02	7.9761332273e-01	8.1578090887e-01
4.0324084473e+02	7.9546576738e-01	8.1514572464e-01
4.0366055298e+02	7.9368489981e-01	8.1452170247e-01
4.0408026123e+02	7.9128175974e-01	8.1390754755e-01
4.0449996948e+02	7.8992968798e-01	8.1330226317e-01
4.0491967773e+02	7.8787213564e-01	8.1270498366e-01
4.0533938599e+02	7.8531092405e-01	8.1211490435e-01
4.0575909424e+02	7.8324604034e-01	8.1153128293e-01
4.0617880249e+02	7.8127211332e-01	8.1095344396e-01
4.0659851074e+02	7.7992278337e-01	8.1038098243e-01
4.0701821899e+02	7.7770382166e-01	8.0981308643e-01
4.0743792725e+02	7.7568352222e-01	8.0924927491e-01
4.0785763550e+02	7.7481651306e-01	8.0868912928e-01
4.0827734375e+02	7.7274787426e-01	8.0813229200e-01
4.0869705200e+02	7.7079802752e-01	8.0757849028e-01
