wavelength_nm	current_final_result_transmittance	nearest_dataset_average_transmittance	nearest_neighbor_tandem_result_transmittance
4.1247444988e+02	9.5359863377e-03	1.1337255687e-01	1.0284411907e-01
4.1289415932e+02	1.1407333075e-02	1.2897616625e-01	1.1977849156e-01
4.1331386876e+02	1.3550840479e-02	1.4760933816e-01	1.3840955496e-01
4.1373357820e+02	1.6573293324e-02	1.6906331480e-01	1.6067235172e-01
4.1415328765e+02	2.0136896935e-02	1.9317893684e-01	1.8597075343e-01
4.1457299709e+02	2.4772126760e-02	2.1968801320e-01	2.1326723695e-01
4.1499270653e+02	3.0422024449e-02	2.4831397831e-01	2.4396348000e-01
4.1541241597e+02	3.7331861125e-02	2.7847823501e-01	2.7467450500e-01
4.1583212541e+02	4.6330224688e-02	3.0965879560e-01	3.0720251799e-01
4.1625183485e+02	5.7108386063e-02	3.4137091041e-01	3.3919808269e-01
4.1667154429e+02	7.0129085972e-02	3.7313446403e-01	3.7029385567e-01
4.1709125373e+02	8.6187905182e-02	4.0449309349e-01	4.0227961540e-01
4.1751096317e+02	1.0483578553e-01	4.3511578441e-01	4.3193626404e-01
4.1793067262e+02	1.2476967580e-01	4.6473923326e-01	4.6068638563e-01
4.1835038206e+02	1.4648305293e-01	4.9307450652e-01	4.8800978065e-01
4.1877009150e+02	1.7104376689e-01	5.2002233267e-01	5.1612532139e-01
4.1918980094e+02	1.9558946188e-01	5.4553943872e-01	5.4075038433e-01
4.1960951038e+02	2.2118339607e-01	5.6959140301e-01	5.6423157454e-01
4.2002921982e+02	2.4676554182e-01	5.9204500914e-01	5.8609032631e-01
4.2044892926e+02	2.7272162535e-01	6.1306941509e-01	6.0703593493e-01
4.2086863870e+02	2.9855522031e-01	6.3271331787e-01	6.2536895275e-01
4.2128834815e+02	3.2359373775e-01	6.5097749233e-01	6.4344084263e-01
4.2170805759e+02	3.4906250436e-01	6.6793227196e-01	6.6047179699e-01
4.2212776703e+02	3.7215096976e-01	6.8372058868e-01	6.7585170269e-01
4.2254747647e+02	3.9601028143e-01	6.9840794802e-01	6.9036030769e-01
4.2296718591e+02	4.1867378554e-01	7.1198016405e-01	7.0381987095e-01
4.2338689535e+02	4.4037761410e-01	7.2461557388e-01	7.1631830931e-01
4.2380660479e+02	4.6065218393e-01	7.3637968302e-01	7.2748225927e-01
4.2422631423e+02	4.8299606530e-01	7.4726945162e-01	7.3879653215e-01
4.2464602368e+02	5.0329218023e-01	7.5740319490e-01	7.4933356047e-01
4.2506573312e+02	5.2096967506e-01	7.6685357094e-01	7.5963181257e-01
4.2548544256e+02	5.4121771721e-01	7.7562826872e-01	7.6860725880e-01
4.2590515200e+02	5.5914172258e-01	7.8379875422e-01	7.7698546648e-01
4.2632486144e+02	5.7722367271e-01	7.9143500328e-01	7.8510779142e-01
4.2674457088e+02	5.9423273982e-01	7.9854458570e-01	7.9292243719e-01
4.2716428032e+02	6.1110017137e-01	8.0517596006e-01	8.0018329620e-01
4.2758398976e+02	6.2641628662e-01	8.1138831377e-01	8.0657976866e-01
4.2800369920e+02	6.4196756379e-01	8.1718444824e-01	8.1407475471e-01
4.2842340865e+02	6.5521967922e-01	8.2260447741e-01	8.1888657808e-01
4.2884311809e+02	6.6838141304e-01	8.2769393921e-01	8.2412755489e-01
4.2926282753e+02	6.8049423305e-01	8.3244925737e-01	8.2927012444e-01
4.2968253697e+02	6.9216565499e-01	8.3691042662e-01	8.3370751143e-01
4.3010224641e+02	7.0253786339e-01	8.4110885859e-01	8.3788299561e-01
4.3052195585e+02	7.1149350630e-01	8.4503489733e-01	8.4190988541e-01
4.3094166529e+02	7.2104962498e-01	8.4873223305e-01	8.4563106298e-01
4.3136137473e+02	7.2995453268e-01	8.5221642256e-01	8.4926146269e-01
4.3178108418e+02	7.3627636764e-01	8.5548192263e-01	8.5173302889e-01
4.3220079362e+02	7.4481099196e-01	8.5856771469e-01	8.5457444191e-01
4.3262050306e+02	7.5222562436e-01	8.6147516966e-01	8.5890895128e-01
4.3304021250e+02	7.5875618907e-01	8.6421418190e-01	8.6110097170e-01
4.3345992194e+02	7.6509760919e-01	8.6680889130e-01	8.6402708292e-01
4.3387963138e+02	7.7079929941e-01	8.6925262213e-01	8.6622893810e-01
4.3429934082e+02	7.7585749431e-01	8.7156850100e-01	8.6856645346e-01
4.3471905026e+02	7.8134417067e-01	8.7376457453e-01	8.7101942301e-01
4.3513875971e+02	7.8628720426e-01	8.7584060431e-01	8.7291747332e-01
4.3555846915e+02	7.9060098905e-01	8.7781792879e-01	8.7481689453e-01
4.3597817859e+02	7.9531131668e-01	8.7969309092e-01	8.7660318613e-01
4.3639788803e+02	7.9961651409e-01	8.8148069382e-01	8.7807333469e-01
4.3681759747e+02	8.0356855072e-01	8.8318830729e-01	8.7960535288e-01
4.3723730691e+02	8.0712058380e-01	8.8481712341e-01	8.8075160980e-01
4.3765701635e+02	8.1131484841e-01	8.8638305664e-01	8.8249635696e-01
4.3807672579e+02	8.1465623609e-01	8.8788443804e-01	8.8398927450e-01
4.3849643523e+02	8.1812671511e-01	8.8933449984e-01	8.8509106636e-01
4.3891614468e+02	8.2078071123e-01	8.9073735476e-01	8.8646483421e-01
4.3933585412e+02	8.2537405285e-01	8.9209812880e-01	8.8811701536e-01
4.3975556356e+02	8.2771825825e-01	8.9342492819e-01	8.8901966810e-01
4.4017527300e+02	8.3040711093e-01	8.9471721649e-01	8.9051312208e-01
4.4059498244e+02	8.3388830502e-01	8.9598304033e-01	8.9174586535e-01
4.4101469188e+02	8.3647332525e-01	8.9722007513e-01	8.9322829247e-01
4.4143440132e+02	8.3967921042e-01	8.9843159914e-01	8.9447140694e-01
4.4185411076e+02	8.4230961800e-01	8.9961606264e-01	8.9590418339e-01
