Epoch 0 | Train Loss: 0.034406 | Val Loss: 0.033558
Epoch 1 | Train Loss: 0.029938 | Val Loss: 0.023682
Epoch 2 | Train Loss: 0.022361 | Val Loss: 0.021265
Epoch 3 | Train Loss: 0.018546 | Val Loss: 0.016794
Epoch 4 | Train Loss: 0.015893 | Val Loss: 0.014868
Epoch 5 | Train Loss: 0.016171 | Val Loss: 0.015742
Epoch 6 | Train Loss: 0.015455 | Val Loss: 0.014286
Epoch 7 | Train Loss: 0.014161 | Val Loss: 0.013605
Epoch 8 | Train Loss: 0.014369 | Val Loss: 0.015088
Epoch 9 | Train Loss: 0.017510 | Val Loss: 0.017415
Epoch 10 | Train Loss: 0.016860 | Val Loss: 0.015686
Epoch 11 | Train Loss: 0.015859 | Val Loss: 0.013295
Epoch 12 | Train Loss: 0.015898 | Val Loss: 0.015656
Epoch 13 | Train Loss: 0.013548 | Val Loss: 0.011897
Epoch 14 | Train Loss: 0.011372 | Val Loss: 0.010106
Epoch 15 | Train Loss: 0.010008 | Val Loss: 0.008880
Epoch 16 | Train Loss: 0.009460 | Val Loss: 0.010809
Epoch 17 | Train Loss: 0.009169 | Val Loss: 0.009720
Epoch 18 | Train Loss: 0.008907 | Val Loss: 0.007265
Epoch 19 | Train Loss: 0.008500 | Val Loss: 0.006852
Epoch 20 | Train Loss: 0.009153 | Val Loss: 0.008919
Epoch 21 | Train Loss: 0.009407 | Val Loss: 0.008670
Epoch 22 | Train Loss: 0.008772 | Val Loss: 0.007109
Epoch 23 | Train Loss: 0.008689 | Val Loss: 0.009067
Epoch 24 | Train Loss: 0.010262 | Val Loss: 0.008506
Epoch 25 | Train Loss: 0.009608 | Val Loss: 0.009745
Epoch 26 | Train Loss: 0.008187 | Val Loss: 0.007284
Epoch 27 | Train Loss: 0.005881 | Val Loss: 0.005075
Epoch 28 | Train Loss: 0.005114 | Val Loss: 0.005199
Epoch 29 | Train Loss: 0.007140 | Val Loss: 0.007355
Epoch 30 | Train Loss: 0.007408 | Val Loss: 0.005053
Epoch 31 | Train Loss: 0.005836 | Val Loss: 0.007796
Epoch 32 | Train Loss: 0.005827 | Val Loss: 0.008373
Epoch 33 | Train Loss: 0.006953 | Val Loss: 0.005832
Epoch 34 | Train Loss: 0.007086 | Val Loss: 0.005076
Epoch 35 | Train Loss: 0.005570 | Val Loss: 0.004949
Epoch 36 | Train Loss: 0.005864 | Val Loss: 0.005019
Epoch 37 | Train Loss: 0.004310 | Val Loss: 0.004001
Epoch 38 | Train Loss: 0.004378 | Val Loss: 0.004166
Epoch 39 | Train Loss: 0.004423 | Val Loss: 0.004360
Epoch 40 | Train Loss: 0.004948 | Val Loss: 0.004146
Epoch 41 | Train Loss: 0.005377 | Val Loss: 0.005890
Epoch 42 | Train Loss: 0.006890 | Val Loss: 0.007681
Epoch 43 | Train Loss: 0.004768 | Val Loss: 0.003773
Epoch 44 | Train Loss: 0.004179 | Val Loss: 0.004208
Epoch 45 | Train Loss: 0.005341 | Val Loss: 0.011408
Epoch 46 | Train Loss: 0.009021 | Val Loss: 0.006852
Epoch 47 | Train Loss: 0.005083 | Val Loss: 0.003835
Epoch 48 | Train Loss: 0.003831 | Val Loss: 0.004013
Epoch 49 | Train Loss: 0.003782 | Val Loss: 0.003428
Epoch 50 | Train Loss: 0.003343 | Val Loss: 0.002979
Epoch 51 | Train Loss: 0.003562 | Val Loss: 0.003486
Epoch 52 | Train Loss: 0.004279 | Val Loss: 0.003852
Epoch 53 | Train Loss: 0.004217 | Val Loss: 0.003779
Epoch 54 | Train Loss: 0.005333 | Val Loss: 0.007672
Epoch 55 | Train Loss: 0.009309 | Val Loss: 0.008184
Epoch 56 | Train Loss: 0.011860 | Val Loss: 0.011290
Epoch 57 | Train Loss: 0.007540 | Val Loss: 0.005973
Epoch 58 | Train Loss: 0.009563 | Val Loss: 0.011435
Epoch 59 | Train Loss: 0.010303 | Val Loss: 0.010667
Epoch 60 | Train Loss: 0.011963 | Val Loss: 0.013779
Epoch 61 | Train Loss: 0.013131 | Val Loss: 0.016660
Epoch 62 | Train Loss: 0.011288 | Val Loss: 0.006581
Epoch 63 | Train Loss: 0.007913 | Val Loss: 0.005393
Epoch 64 | Train Loss: 0.006162 | Val Loss: 0.004595
Epoch 65 | Train Loss: 0.004731 | Val Loss: 0.003759
Epoch 66 | Train Loss: 0.004133 | Val Loss: 0.003777
Epoch 67 | Train Loss: 0.007505 | Val Loss: 0.005113
Epoch 68 | Train Loss: 0.004939 | Val Loss: 0.004778
Epoch 69 | Train Loss: 0.006058 | Val Loss: 0.007911
Epoch 70 | Train Loss: 0.006308 | Val Loss: 0.003933
Epoch 71 | Train Loss: 0.004205 | Val Loss: 0.005028
Epoch 72 | Train Loss: 0.007222 | Val Loss: 0.008539
