wavelength_nm	final_result_transmittance	cst_average_transmittance
3.7973712158e+02	8.5574924946e-01	8.1958045978e-01
3.8015682983e+02	8.5634511709e-01	8.2082654583e-01
3.8057653809e+02	8.5655826330e-01	8.2203775435e-01
3.8099624634e+02	8.5609763861e-01	8.2322071752e-01
3.8141595459e+02	8.5596406460e-01	8.2438117756e-01
3.8183566284e+02	8.5560238361e-01	8.2552406668e-01
3.8225537109e+02	8.5540491343e-01	8.2665358331e-01
3.8267507935e+02	8.5478526354e-01	8.2777326389e-01
3.8309478760e+02	8.5406589508e-01	8.2888604965e-01
3.8351449585e+02	8.5314095020e-01	8.2999434886e-01
3.8393420410e+02	8.5241425037e-01	8.3110009377e-01
3.8435391235e+02	8.5144358873e-01	8.3220479315e-01
3.8477362061e+02	8.5065364838e-01	8.3330958018e-01
3.8519332886e+02	8.4961456060e-01	8.3441525611e-01
3.8561303711e+02	8.4860378504e-01	8.3552233994e-01
3.8603274536e+02	8.4718841314e-01	8.3663108153e-01
3.8645245361e+02	8.4632486105e-01	8.3774149890e-01
3.8687216187e+02	8.4557318687e-01	8.3885342538e-01
3.8729187012e+02	8.4426188469e-01	8.3996652980e-01
3.8771157837e+02	8.4330898523e-01	8.4108034099e-01
3.8813131714e+02	8.4234970808e-01	8.4219435090e-01
3.8855102539e+02	8.4104973078e-01	8.4330771089e-01
3.8897073364e+02	8.4034711123e-01	8.4441973620e-01
3.8939044189e+02	8.3929586411e-01	8.4552959884e-01
3.8981015015e+02	8.3783304691e-01	8.4663642399e-01
3.9022985840e+02	8.3713179827e-01	8.4773930403e-01
3.9064956665e+02	8.3638459444e-01	8.4883731152e-01
3.9106927490e+02	8.3557116985e-01	8.4992951087e-01
3.9148898315e+02	8.3436650038e-01	8.5101496900e-01
3.9190869141e+02	8.3355057240e-01	8.5209276510e-01
3.9232839966e+02	8.3266627789e-01	8.5316199928e-01
3.9274810791e+02	8.3214110136e-01	8.5422180056e-01
3.9316781616e+02	8.3097285032e-01	8.5527133377e-01
3.9358752441e+02	8.2993638515e-01	8.5630980575e-01
3.9400723267e+02	8.2982748747e-01	8.5733642656e-01
3.9442694092e+02	8.2880443335e-01	8.5835042707e-01
3.9484664917e+02	8.2774662971e-01	8.5935125799e-01
3.9526635742e+02	8.2730305195e-01	8.6033834057e-01
3.9568606567e+02	8.2672423124e-01	8.6131115799e-01
3.9610577393e+02	8.2635313272e-01	8.6226925707e-01
3.9652548218e+02	8.2609951496e-01	8.6321224924e-01
3.9694519043e+02	8.2563447952e-01	8.6413981109e-01
3.9736489868e+02	8.2533782721e-01	8.6505168412e-01
3.9778460693e+02	8.2505100965e-01	8.6594767402e-01
3.9820431519e+02	8.2529890537e-01	8.6682764942e-01
3.9862402344e+02	8.2480478287e-01	8.6769154012e-01
3.9904376221e+02	8.2434213161e-01	8.6853939612e-01
3.9946347046e+02	8.2433348894e-01	8.6937113949e-01
3.9988317871e+02	8.2455891371e-01	8.7018676264e-01
4.0030288696e+02	8.2441580296e-01	8.7098630293e-01
4.0072259521e+02	8.2383048534e-01	8.7177023225e-01
4.0114230347e+02	8.2418489456e-01	8.7253879549e-01
4.0156201172e+02	8.2403486967e-01	8.7329227704e-01
4.0198171997e+02	8.2357168198e-01	8.7403099690e-01
4.0240142822e+02	8.2398974895e-01	8.7475530670e-01
4.0282113647e+02	8.2380986214e-01	8.7546558565e-01
4.0324084473e+02	8.2396739721e-01	8.7616223664e-01
4.0366055298e+02	8.2392519712e-01	8.7684526944e-01
4.0408026123e+02	8.2421189547e-01	8.7751546778e-01
4.0449996948e+02	8.2429957390e-01	8.7817337338e-01
4.0491967773e+02	8.2500678301e-01	8.7881944860e-01
4.0533938599e+02	8.2349598408e-01	8.7945416054e-01
4.0575909424e+02	8.2505565882e-01	8.8007797783e-01
4.0617880249e+02	8.2430368662e-01	8.8069136019e-01
4.0659851074e+02	8.2508474588e-01	8.8129432924e-01
4.0701821899e+02	8.2543754578e-01	8.8188782382e-01
4.0743792725e+02	8.2565397024e-01	8.8247229180e-01
4.0785763550e+02	8.2597100735e-01	8.8304816942e-01
4.0827734375e+02	8.2670801878e-01	8.8361587962e-01
4.0869705200e+02	8.2713109255e-01	8.8417576290e-01
4.0911676025e+02	8.2741492987e-01	8.8472795732e-01
4.0953649902e+02	8.2805234194e-01	8.8527323169e-01
4.0995620728e+02	8.2894659042e-01	8.8581186112e-01
4.1037591553e+02	8.2940238714e-01	8.8634422068e-01
4.1079562378e+02	8.3006691933e-01	8.8687062601e-01
4.1121533203e+02	8.3092355728e-01	8.8739105107e-01
4.1163504028e+02	8.3131396770e-01	8.8790610218e-01
4.1205474854e+02	8.3214384317e-01	8.8841605159e-01
4.1247445679e+02	8.3219385147e-01	8.8892113276e-01
4.1289416504e+02	8.3293753862e-01	8.8942150311e-01
4.1331387329e+02	8.3407521248e-01	8.8991717286e-01
4.1373358154e+02	8.3445286751e-01	8.9040857990e-01
4.1415328979e+02	8.3547478914e-01	8.9089588127e-01
4.1457299805e+02	8.3603942394e-01	8.9137921784e-01
4.1499270630e+02	8.3705943823e-01	8.9185849447e-01
4.1541241455e+02	8.3763241768e-01	8.9233398552e-01
4.1583212280e+02	8.3859258890e-01	8.9280585313e-01
4.1625183105e+02	8.3925992250e-01	8.9327417988e-01
4.1667153931e+02	8.4029990435e-01	8.9373885692e-01
4.1709124756e+02	8.4094434977e-01	8.9420002469e-01
