wavelength_nm	final_network_transmittance	nearest_simulation_transmittance
3.7973711347e+02	9.4370967150e-01	9.3854609431e-01
3.8015682291e+02	9.4462722540e-01	9.3970255980e-01
3.8057653235e+02	9.4548588991e-01	9.4070614581e-01
3.8099624179e+02	9.4622093439e-01	9.4155933477e-01
3.8141595123e+02	9.4680780172e-01	9.4226501240e-01
3.8183566067e+02	9.4724208117e-01	9.4282642925e-01
3.8225537011e+02	9.4753438234e-01	9.4324715982e-01
3.8267507956e+02	9.4769662619e-01	9.4353106033e-01
3.8309478900e+02	9.4773972034e-01	9.4368222537e-01
3.8351449844e+02	9.4766080379e-01	9.4370494444e-01
3.8393420788e+02	9.4747382402e-01	9.4360365873e-01
3.8435391732e+02	9.4719380140e-01	9.4338291877e-01
3.8477362676e+02	9.4682687521e-01	9.4304734359e-01
3.8519333620e+02	9.4636672735e-01	9.4260158171e-01
3.8561304564e+02	9.4582277536e-01	9.4204967937e-01
3.8603275508e+02	9.4519656897e-01	9.4139653462e-01
3.8645246453e+02	9.4450151920e-01	9.4064714454e-01
3.8687217397e+02	9.4373279810e-01	9.3980591971e-01
3.8729188341e+02	9.4289577007e-01	9.3887714424e-01
3.8771159285e+02	9.4198966026e-01	9.3786495416e-01
3.8813130229e+02	9.4102126360e-01	9.3677331905e-01
3.8855101173e+02	9.3998610973e-01	9.3560602671e-01
3.8897072117e+02	9.3890190125e-01	9.3436667092e-01
3.8939043061e+02	9.3773597479e-01	9.3305864213e-01
3.8981014006e+02	9.3648380041e-01	9.3168512088e-01
3.9022984950e+02	9.3513315916e-01	9.3024907392e-01
3.9064955894e+02	9.3369746208e-01	9.2875325244e-01
3.9106926838e+02	9.3217796087e-01	9.2720019275e-01
3.9148897782e+02	9.3058997393e-01	9.2559221873e-01
3.9190868726e+02	9.2894452810e-01	9.2393144607e-01
3.9232839670e+02	9.2738652229e-01	9.2221978793e-01
3.9274810614e+02	9.2525988817e-01	9.2045896187e-01
