wavelength_nm	ideal_target_transmittance	cvae_target_transmittance	tandem_response_transmittance
3.7973711347e+02	9.4176042080e-01	9.1389912367e-01	8.1282126904e-01
3.8015682291e+02	9.4116467237e-01	9.1231590509e-01	8.1107538939e-01
3.8057653235e+02	9.4055950642e-01	9.1059178114e-01	8.1001931429e-01
3.8099624179e+02	9.3994480371e-01	9.0852957964e-01	8.0853170156e-01
3.8141595123e+02	9.3932020664e-01	9.0663045645e-01	8.0781251192e-01
3.8183566067e+02	9.3868565559e-01	9.0461391211e-01	8.0657631159e-01
3.8225537011e+02	9.3804079294e-01	9.0225720406e-01	8.0605596304e-01
3.8267507956e+02	9.3738549948e-01	8.9999485016e-01	8.0496376753e-01
3.8309478900e+02	9.3671953678e-01	8.9746278524e-01	8.0442190170e-01
3.8351449844e+02	9.3604266644e-01	8.9525753260e-01	8.0359488726e-01
3.8393420788e+02	9.3535459042e-01	8.9246356487e-01	8.0325329304e-01
3.8435391732e+02	9.3465507030e-01	8.8990890980e-01	8.0260998011e-01
3.8477362676e+02	9.3394392729e-01	8.8741987944e-01	8.0201381445e-01
3.8519333620e+02	9.3322080374e-01	8.8472419977e-01	8.0161869526e-01
3.8561304564e+02	9.3248552084e-01	8.8203400373e-01	8.0147016048e-01
3.8603275508e+02	9.3173772097e-01	8.7947982550e-01	8.0123567581e-01
3.8645246453e+02	9.3097710609e-01	8.7687003613e-01	8.0087834597e-01
3.8687217397e+02	9.3020343781e-01	8.7418103218e-01	8.0127435923e-01
3.8729188341e+02	9.2941641808e-01	8.7144905329e-01	8.0157786608e-01
3.8771159285e+02	9.2861574888e-01	8.6887431145e-01	8.0189692974e-01
3.8813130229e+02	9.2780101299e-01	8.6610847712e-01	8.0261540413e-01
3.8855101173e+02	9.2697197199e-01	8.6364638805e-01	8.0283349752e-01
3.8897072117e+02	9.2612820864e-01	8.6070770025e-01	8.0352658033e-01
3.8939043061e+02	9.2526948452e-01	8.5787081718e-01	8.0483186245e-01
3.8981014006e+02	9.2439532280e-01	8.5513627529e-01	8.0578386784e-01
3.9022984950e+02	9.2350542545e-01	8.5247653723e-01	8.0685079098e-01
3.9064955894e+02	9.2259937525e-01	8.5007143021e-01	8.0816435814e-01
3.9106926838e+02	9.2167681456e-01	8.4764093161e-01	8.0957812071e-01
3.9148897782e+02	9.2073726654e-01	8.4512025118e-01	8.1168794632e-01
3.9190868726e+02	9.1978037357e-01	8.4283232689e-01	8.1342566013e-01
3.9232839670e+02	9.1880565882e-01	8.4035080671e-01	8.1571090221e-01
3.9274810614e+02	9.1781270504e-01	8.3828598261e-01	8.1731921434e-01
3.9316781559e+02	9.1680109501e-01	8.3573424816e-01	8.1940007210e-01
3.9358752503e+02	9.1577029228e-01	8.3344632387e-01	8.2140123844e-01
3.9400723447e+02	9.1471982002e-01	8.3112502098e-01	8.2347953320e-01
3.9442694391e+02	9.1364914179e-01	8.2889539003e-01	8.2613515854e-01
3.9484665335e+02	9.1255784035e-01	8.2668334246e-01	8.2859683037e-01
3.9526636279e+02	9.1144531965e-01	8.2414203882e-01	8.3068388700e-01
3.9568607223e+02	9.1031098366e-01	8.2234466076e-01	8.3308023214e-01
3.9610578167e+02	9.0915429592e-01	8.2029455900e-01	8.3577144146e-01
3.9652549111e+02	9.0797466040e-01	8.1829470396e-01	8.3823102713e-01
3.9694520056e+02	9.0677154064e-01	8.1618952751e-01	8.4067642689e-01
3.9736491000e+02	9.0554416180e-01	8.1427222490e-01	8.4328424931e-01
3.9778461944e+02	9.0429204702e-01	8.1236547232e-01	8.4649747610e-01
3.9820432888e+02	9.0301436186e-01	8.1060451269e-01	8.4885519743e-01
3.9862403832e+02	9.0171051025e-01	8.0854707956e-01	8.5175061226e-01
3.9904374776e+02	9.0037971735e-01	8.0692863464e-01	8.5446226597e-01
3.9946345720e+02	8.9902126789e-01	8.0535054207e-01	8.5739403963e-01
3.9988316664e+02	8.9763444662e-01	8.0390548706e-01	8.6007738113e-01
4.0030287609e+02	8.9621835947e-01	8.0187833309e-01	8.6264312267e-01
4.0072258553e+02	8.9477229118e-01	8.0026644468e-01	8.6531001329e-01
4.0114229497e+02	8.9329528809e-01	7.9894804955e-01	8.6759549379e-01
4.0156200441e+02	8.9178651571e-01	7.9738336802e-01	8.7063115835e-01
4.0198171385e+02	8.9024507999e-01	7.9574817419e-01	8.7271398306e-01
4.0240142329e+02	8.8867008686e-01	7.9427957535e-01	8.7486618757e-01
4.0282113273e+02	8.8706046343e-01	7.9270052910e-01	8.7701278925e-01
4.0324084217e+02	8.8541519642e-01	7.9087227583e-01	8.7908858061e-01
4.0366055162e+02	8.8373339176e-01	7.8916901350e-01	8.8080030680e-01
4.0408026106e+02	8.8201379776e-01	7.8689092398e-01	8.8230508566e-01
4.0449997050e+02	8.8025534153e-01	7.8494983912e-01	8.8386958838e-01
4.0491967994e+02	8.7845695019e-01	7.8272163868e-01	8.8603574038e-01
