wavelength_nm	ideal_target_transmittance	tandem_response_transmittance
3.7973711347e+02	9.6733242273e-01	9.6239399910e-01
3.8015682291e+02	9.6708071232e-01	9.6018785238e-01
3.8057653235e+02	9.6682602167e-01	9.5741182566e-01
3.8099624179e+02	9.6656823158e-01	9.5441615582e-01
3.8141595123e+02	9.6630734205e-01	9.5109355450e-01
3.8183566067e+02	9.6604329348e-01	9.4752740860e-01
3.8225537011e+02	9.6577602625e-01	9.4345760345e-01
3.8267507956e+02	9.6550554037e-01	9.3948215246e-01
3.8309478900e+02	9.6523171663e-01	9.3517220020e-01
3.8351449844e+02	9.6495449543e-01	9.3035942316e-01
3.8393420788e+02	9.6467387676e-01	9.2571640015e-01
3.8435391732e+02	9.6438974142e-01	9.2117142677e-01
3.8477362676e+02	9.6410202980e-01	9.1601163149e-01
3.8519333620e+02	9.6381074190e-01	9.1075420380e-01
3.8561304564e+02	9.6351581812e-01	9.0587460995e-01
3.8603275508e+02	9.6321713924e-01	9.0042924881e-01
3.8645246453e+02	9.6291464567e-01	8.9521914721e-01
3.8687217397e+02	9.6260827780e-01	8.8955551386e-01
3.8729188341e+02	9.6229803562e-01	8.8410931826e-01
3.8771159285e+02	9.6198374033e-01	8.7869060040e-01
3.8813130229e+02	9.6166539192e-01	8.7320566177e-01
3.8855101173e+02	9.6134287119e-01	8.6796975136e-01
3.8897072117e+02	9.6101617813e-01	8.6253559589e-01
3.8939043061e+02	9.6068519354e-01	8.5727596283e-01
3.8981014006e+02	9.6034985781e-01	8.5178327560e-01
3.9022984950e+02	9.6001005173e-01	8.4659469128e-01
3.9064955894e+02	9.5966571569e-01	8.4143882990e-01
3.9106926838e+02	9.5931679010e-01	8.3628714085e-01
3.9148897782e+02	9.5896315575e-01	8.3150339127e-01
3.9190868726e+02	9.5860475302e-01	8.2641035318e-01
3.9232839670e+02	9.5824152231e-01	8.2134252787e-01
3.9274810614e+02	9.5787328482e-01	8.1632828712e-01
3.9316781559e+02	9.5750004053e-01	8.1143999100e-01
3.9358752503e+02	9.5712161064e-01	8.0666434765e-01
3.9400723447e+02	9.5673799515e-01	8.0177158117e-01
3.9442694391e+02	9.5634901524e-01	7.9723101854e-01
3.9484665335e+02	9.5595461130e-01	7.9257667065e-01
3.9526636279e+02	9.5555460453e-01	7.8831571341e-01
3.9568607223e+02	9.5514905453e-01	7.8392058611e-01
3.9610578167e+02	9.5473766327e-01	7.8011018038e-01
3.9652549111e+02	9.5432043076e-01	7.7599626780e-01
3.9694520056e+02	9.5389723778e-01	7.7185118198e-01
3.9736491000e+02	9.5346796513e-01	7.6776188612e-01
3.9778461944e+02	9.5303243399e-01	7.6428699493e-01
3.9820432888e+02	9.5259064436e-01	7.6106953621e-01
3.9862403832e+02	9.5214229822e-01	7.5776469707e-01
3.9904374776e+02	9.5168739557e-01	7.5473910570e-01
3.9946345720e+02	9.5122581720e-01	7.5208455324e-01
3.9988316664e+02	9.5075732470e-01	7.4888890982e-01
4.0030287609e+02	9.5028185844e-01	7.4614828825e-01
4.0072258553e+02	9.4979923964e-01	7.4321967363e-01
4.0114229497e+02	9.4930934906e-01	7.4085766077e-01
4.0156200441e+02	9.4881200790e-01	7.3857945204e-01
4.0198171385e+02	9.4830709696e-01	7.3597019911e-01
4.0240142329e+02	9.4779443741e-01	7.3413425684e-01
4.0282113273e+02	9.4727385044e-01	7.3070675135e-01
4.0324084217e+02	9.4674521685e-01	7.2978621721e-01
4.0366055162e+02	9.4620835781e-01	7.2733616829e-01
4.0408026106e+02	9.4566309452e-01	7.2582650185e-01
4.0449997050e+02	9.4510918856e-01	7.2369951010e-01
4.0491967994e+02	9.4454652071e-01	7.2180098295e-01
4.0533938938e+02	9.4397491217e-01	7.2132766247e-01
4.0575909882e+02	9.4339412451e-01	7.1863245964e-01
4.0617880826e+02	9.4280397892e-01	7.1741545200e-01
4.0659851770e+02	9.4220429659e-01	7.1622681618e-01
4.0701822714e+02	9.4159477949e-01	7.1483165026e-01
4.0743793659e+02	9.4097530842e-01	7.1393465996e-01
4.0785764603e+02	9.4034564495e-01	7.1336030960e-01
4.0827735547e+02	9.3970555067e-01	7.1202689409e-01
4.0869706491e+02	9.3905478716e-01	7.1124929190e-01
4.0911677435e+02	9.3839305639e-01	7.1047216654e-01
4.0953648379e+02	9.3772017956e-01	7.1014451981e-01
4.0995619323e+02	9.3703591824e-01	7.0947986841e-01
4.1037590267e+02	9.3633997440e-01	7.0904177427e-01
4.1079561212e+02	9.3563205004e-01	7.0812380314e-01
4.1121532156e+02	9.3491196632e-01	7.0845806599e-01
4.1163503100e+02	9.3417930603e-01	7.0775014162e-01
4.1205474044e+02	9.3343389034e-01	7.0677685738e-01
4.1247444988e+02	9.3267530203e-01	7.0726937056e-01
4.1289415932e+02	9.3190336227e-01	7.0652854443e-01
4.1331386876e+02	9.3111765385e-01	7.0657974482e-01
4.1373357820e+02	9.3031787872e-01	7.0586180687e-01
4.1415328765e+02	9.2950367928e-01	7.0600050688e-01
4.1457299709e+02	9.2867475748e-01	7.0568162203e-01
4.1499270653e+02	9.2783069611e-01	7.0540982485e-01
4.1541241597e+02	9.2697119713e-01	7.0604401827e-01
4.1583212541e+02	9.2609578371e-01	7.0675104856e-01
4.1625183485e+02	9.2520409822e-01	7.0689100027e-01
4.1667154429e+02	9.2429572344e-01	7.0689100027e-01
4.1709125373e+02	9.2337030172e-01	7.0622152090e-01
4.1751096317e+02	9.2242729664e-01	7.0712333918e-01
4.1793067262e+02	9.2146635056e-01	7.0668178797e-01
4.1835038206e+02	9.2048698664e-01	7.0717948675e-01
4.1877009150e+02	9.1948866844e-01	7.0749098063e-01
4.1918980094e+02	9.1847097874e-01	7.0797973871e-01
4.1960951038e+02	9.1743338108e-01	7.0766454935e-01
4.2002921982e+02	9.1637539864e-01	7.0797431469e-01
4.2044892926e+02	9.1529637575e-01	7.0901286602e-01
4.2086863870e+02	9.1419589520e-01	7.1088689566e-01
4.2128834815e+02	9.1307324171e-01	7.0920491219e-01
4.2170805759e+02	9.1192793846e-01	7.0966625214e-01
4.2212776703e+02	9.1075932980e-01	7.1024423838e-01
4.2254747647e+02	9.0956676006e-01	7.1056574583e-01
4.2296718591e+02	9.0834963322e-01	7.1051925421e-01
4.2338689535e+02	9.0710723400e-01	7.1105808020e-01
4.2380660479e+02	9.0583878756e-01	7.1194785833e-01
4.2422631423e+02	9.0454369783e-01	7.1230936050e-01
4.2464602368e+02	9.0322113037e-01	7.1266394854e-01
4.2506573312e+02	9.0187036991e-01	7.1425265074e-01
4.2548544256e+02	9.0049058199e-01	7.1455091238e-01
4.2590515200e+02	8.9908093214e-01	7.1549701691e-01
4.2632486144e+02	8.9764052629e-01	7.1593779325e-01
4.2674457088e+02	8.9616858959e-01	7.1708118916e-01
4.2716428032e+02	8.9466404915e-01	7.1730834246e-01
4.2758398976e+02	8.9312607050e-01	7.1839088202e-01
4.2800369920e+02	8.9155364037e-01	7.1895569563e-01
4.2842340865e+02	8.8994568586e-01	7.1933841705e-01
4.2884311809e+02	8.8830119371e-01	7.1981406212e-01
4.2926282753e+02	8.8661909103e-01	7.1997982264e-01
4.2968253697e+02	8.8489812613e-01	7.2054278851e-01
4.3010224641e+02	8.8313728571e-01	7.2041320801e-01
4.3052195585e+02	8.8133519888e-01	7.1993595362e-01
4.3094166529e+02	8.7949061394e-01	7.1947741508e-01
4.3136137473e+02	8.7760233879e-01	7.1900177002e-01
4.3178108418e+02	8.7566888332e-01	7.1867281199e-01
4.3220079362e+02	8.7368887663e-01	7.1752303839e-01
4.3262050306e+02	8.7166082859e-01	7.1707665920e-01
4.3304021250e+02	8.6958324909e-01	7.1675235033e-01
4.3345992194e+02	8.6745452881e-01	7.1569859982e-01
4.3387963138e+02	8.6527305841e-01	7.1549451351e-01
4.3429934082e+02	8.6303704977e-01	7.1480023861e-01
4.3471905026e+02	8.6074483395e-01	7.1490514278e-01
4.3513875971e+02	8.5839450359e-01	7.1382695436e-01
4.3555846915e+02	8.5598415136e-01	7.1295195818e-01
4.3597817859e+02	8.5351181030e-01	7.1258348227e-01
4.3639788803e+02	8.5097539425e-01	7.1204441786e-01
4.3681759747e+02	8.4837281704e-01	7.1147799492e-01
4.3723730691e+02	8.4570175409e-01	7.1124309301e-01
4.3765701635e+02	8.4296000004e-01	7.0966774225e-01
4.3807672579e+02	8.4014505148e-01	7.0903050900e-01
4.3849643523e+02	8.3725440502e-01	7.0819365978e-01
4.3891614468e+02	8.3428555727e-01	7.0692515373e-01
4.3933585412e+02	8.3123564720e-01	7.0616579056e-01
4.3975556356e+02	8.2810205221e-01	7.0500743389e-01
4.4017527300e+02	8.2488167286e-01	7.0403265953e-01
4.4059498244e+02	8.2157152891e-01	7.0294469595e-01
4.4101469188e+02	8.1816852093e-01	7.0185309649e-01
4.4143440132e+02	8.1466925144e-01	6.9964605570e-01
4.4185411076e+02	8.1107038260e-01	6.9858843088e-01
4.4227382021e+02	8.0736833811e-01	6.9655698538e-01
4.4269352965e+02	8.0355936289e-01	6.9497185946e-01
4.4311323909e+02	7.9963964224e-01	6.9404327869e-01
4.4353294853e+02	7.9560518265e-01	6.9194519520e-01
4.4395265797e+02	7.9145187140e-01	6.9033169746e-01
4.4437236741e+02	7.8717535734e-01	6.8901205063e-01
4.4479207685e+02	7.8277111053e-01	6.8722647429e-01
4.4521178629e+02	7.7823454142e-01	6.8693578243e-01
4.4563149574e+02	7.7356076241e-01	6.8441271782e-01
4.4605120518e+02	7.6874476671e-01	6.8335449696e-01
4.4647091462e+02	7.6378130913e-01	6.8108481169e-01
4.4689062406e+02	7.5866502523e-01	6.7769956589e-01
4.4731033350e+02	7.5339031219e-01	6.7496114969e-01
4.4773004294e+02	7.4795132875e-01	6.7230540514e-01
4.4814975238e+02	7.4234211445e-01	6.6956329346e-01
4.4856946182e+02	7.3655635118e-01	6.6581326723e-01
4.4898917126e+02	7.3058766127e-01	6.6157239676e-01
4.4940888071e+02	7.2442942858e-01	6.5774434805e-01
4.4982859015e+02	7.1807467937e-01	6.5239614248e-01
4.5024829959e+02	7.1151649952e-01	6.4619076252e-01
4.5066800903e+02	7.0474743843e-01	6.4044636488e-01
4.5108771847e+02	6.9776016474e-01	6.3404262066e-01
4.5150742791e+02	6.9054687023e-01	6.2795311213e-01
4.5192713735e+02	6.8309974670e-01	6.2127107382e-01
4.5234684679e+02	6.7541074753e-01	6.1416250467e-01
4.5276655624e+02	6.6747164726e-01	6.0603612661e-01
4.5318626568e+02	6.5927410126e-01	5.9764105082e-01
4.5360597512e+02	6.5080970526e-01	5.8859854937e-01
4.5402568456e+02	6.4206975698e-01	5.7857137918e-01
4.5444539400e+02	6.3304579258e-01	5.6902188063e-01
4.5486510344e+02	6.2372910976e-01	5.5896931887e-01
4.5528481288e+02	6.1411118507e-01	5.4785829782e-01
4.5570452232e+02	6.0418337584e-01	5.3694313765e-01
4.5612423177e+02	5.9393745661e-01	5.2457082272e-01
4.5654394121e+02	5.8336526155e-01	5.1148372889e-01
4.5696365065e+02	5.7245886326e-01	4.9844607711e-01
4.5738336009e+02	5.6121098995e-01	4.8647028208e-01
4.5780306953e+02	5.4961460829e-01	4.7180309892e-01
4.5822277897e+02	5.3766351938e-01	4.5819768310e-01
4.5864248841e+02	5.2535223961e-01	4.4341105223e-01
4.5906219785e+02	5.1267617941e-01	4.2813393474e-01
4.5948190729e+02	4.9963182211e-01	4.1333556175e-01
4.5990161674e+02	4.8621708155e-01	3.9837485552e-01
4.6032132618e+02	4.7243130207e-01	3.8277047873e-01
4.6074103562e+02	4.5827552676e-01	3.6701512337e-01
4.6116074506e+02	4.4375285506e-01	3.5217869282e-01
4.6158045450e+02	4.2886865139e-01	3.3629190922e-01
4.6200016394e+02	4.1363078356e-01	3.2159903646e-01
4.6241987338e+02	3.9804998040e-01	3.0578613281e-01
4.6283958282e+02	3.8214018941e-01	2.9063907266e-01
4.6325929227e+02	3.6591890454e-01	2.7620553970e-01
4.6367900171e+02	3.4940737486e-01	2.6163169742e-01
4.6409871115e+02	3.3263111115e-01	2.4760203063e-01
4.6451842059e+02	3.1562021375e-01	2.3377822340e-01
4.6493813003e+02	2.9840958118e-01	2.2000116110e-01
4.6535783947e+02	2.8103926778e-01	2.0697571337e-01
4.6577754891e+02	2.6355481148e-01	1.9304658473e-01
4.6619725835e+02	2.4600733817e-01	1.8073104322e-01
4.6661696780e+02	2.2845377028e-01	1.6833941638e-01
4.6703667724e+02	2.1095687151e-01	1.5676204860e-01
4.6745638668e+02	1.9358521700e-01	1.4520366490e-01
4.6787609612e+02	1.7641301453e-01	1.3397188485e-01
4.6829580556e+02	1.5951980650e-01	1.2364282459e-01
4.6871551500e+02	1.4299011230e-01	1.1395001411e-01
4.6913522444e+02	1.2691272795e-01	1.0448174924e-01
4.6955493388e+02	1.1138000339e-01	9.5754489303e-02
