Epoch 0 | Train Loss: 168.998863 | Val Loss: 126.377869
Epoch 1 | Train Loss: 78.612309 | Val Loss: 77.897026
Epoch 2 | Train Loss: 59.565685 | Val Loss: 75.591904
Epoch 3 | Train Loss: 52.346383 | Val Loss: 68.459091
Epoch 4 | Train Loss: 49.366043 | Val Loss: 53.622292
Epoch 5 | Train Loss: 45.121453 | Val Loss: 50.716831
Epoch 6 | Train Loss: 43.602323 | Val Loss: 47.133835
Epoch 7 | Train Loss: 42.595275 | Val Loss: 45.119091
Epoch 8 | Train Loss: 43.411891 | Val Loss: 46.302933
Epoch 9 | Train Loss: 40.130822 | Val Loss: 42.480263
Epoch 10 | Train Loss: 40.655621 | Val Loss: 39.265110
Epoch 11 | Train Loss: 38.522829 | Val Loss: 41.345760
Epoch 12 | Train Loss: 38.942372 | Val Loss: 37.435680
Epoch 13 | Train Loss: 37.826550 | Val Loss: 39.936661
Epoch 14 | Train Loss: 36.859334 | Val Loss: 42.267601
Epoch 15 | Train Loss: 38.309108 | Val Loss: 45.208763
Epoch 16 | Train Loss: 38.913692 | Val Loss: 39.774742
Epoch 17 | Train Loss: 37.663712 | Val Loss: 40.806862
Epoch 18 | Train Loss: 36.950943 | Val Loss: 38.638630
Epoch 19 | Train Loss: 33.511230 | Val Loss: 34.143658
Epoch 20 | Train Loss: 34.909115 | Val Loss: 30.928535
Epoch 21 | Train Loss: 35.157441 | Val Loss: 35.052193
Epoch 22 | Train Loss: 33.754403 | Val Loss: 31.160477
Epoch 23 | Train Loss: 33.362014 | Val Loss: 32.690590
Epoch 24 | Train Loss: 34.655890 | Val Loss: 33.784760
Epoch 25 | Train Loss: 33.190297 | Val Loss: 33.848133
Epoch 26 | Train Loss: 34.906659 | Val Loss: 36.318665
Epoch 27 | Train Loss: 31.986950 | Val Loss: 33.429413
Epoch 28 | Train Loss: 32.509908 | Val Loss: 31.065380
Epoch 29 | Train Loss: 32.549662 | Val Loss: 34.989899
Epoch 30 | Train Loss: 31.526030 | Val Loss: 30.261024
Epoch 31 | Train Loss: 30.058114 | Val Loss: 34.962593
Epoch 32 | Train Loss: 30.832693 | Val Loss: 30.024208
Epoch 33 | Train Loss: 30.503047 | Val Loss: 32.234520
Epoch 34 | Train Loss: 32.104745 | Val Loss: 30.172485
Epoch 35 | Train Loss: 31.351203 | Val Loss: 30.722538
Epoch 36 | Train Loss: 30.873372 | Val Loss: 32.432938
Epoch 37 | Train Loss: 29.747412 | Val Loss: 28.763391
Epoch 38 | Train Loss: 30.639015 | Val Loss: 30.877575
Epoch 39 | Train Loss: 30.867572 | Val Loss: 29.366932
Epoch 40 | Train Loss: 30.288249 | Val Loss: 31.025246
Epoch 41 | Train Loss: 29.711720 | Val Loss: 27.595833
Epoch 42 | Train Loss: 30.188860 | Val Loss: 26.721628
Epoch 43 | Train Loss: 29.587638 | Val Loss: 28.431892
Epoch 44 | Train Loss: 29.467218 | Val Loss: 26.594435
Epoch 45 | Train Loss: 29.053534 | Val Loss: 27.655342
Epoch 46 | Train Loss: 30.013989 | Val Loss: 26.704386
Epoch 47 | Train Loss: 28.195017 | Val Loss: 28.040838
Epoch 48 | Train Loss: 28.971213 | Val Loss: 26.826326
Epoch 49 | Train Loss: 29.905719 | Val Loss: 24.404959
